,Unnamed: 0.1,Unnamed: 0,Title,Company,Location,Type,Salary,Contract_type,Job Description,JobType,Skill
46,1,1,Technical Business Analyst,Aptivacorp,"Alpharetta, GA 30009",Onsite,$70 - $73 ,ct,"Role: Technical Business Analyst
Location: NYC, NY OR Alpharetta, GA (3 days must onsite/week)
Duration: 12 Months
Partner with Business and Operations partners to understand and elaborate requirements.
Document Functional Requirements with supporting UI Mockups/Wireframes, use cases, current vs future state flow diagrams and sequence diagrams.
Participate in technical design discussions to ensure the design meets specifications.
Assist QA and UAT teams to bridge the gap in understanding requirements and review test cases/test plan to make sure all scenarios are covered. Perform BA Testing before functionality is rolled out for QA/UAT.
Proficiency in basic UML diagrams (Use Case, Activity, Interaction, Sequence)
Hands-on BA, ready to dive into the database, understand tables, data model to perform data analysis using SQL queries. Good understanding of relational databases (RDBMS) and SQL.
Lead and manage projects through development, testing and deployment to production by aligning respective teams, setting expectations and addressing requirement related questions. Provide updates to the key stakeholders in the form of ppt slides etc. on the progress and any delays or risks.
Be highly motivated, willing to learn and be flexible with work timings to collaborate closely with teams in New York and India.
Primary Skills (Must have)
· Strong analytical, written and verbal communication skills.
· Have strong background in technology (undergrad/bachelor in Computer Science, Information Systems or related Degree).
· Have good background in Software Development Lifecycle, 3 Tier Application Architecture.
· A proven ability to build strong collaborative working relationships with business partners and department leads.
Technical Requirements
· Understanding of programming languages like C++, Java
· Understanding of/experience in multi-tier, distributed architecture
· Good working knowledge of Relational Databases (preferably SQL Server & DB2)
Nice to have:
· Hands on development experience
· Exposure to program management through standard tools such as JIRA, contemporary development management with Agile, KanBan etc
· Exposure to Behavioral Driven Development/Test Driven Development.
Thanks & Regards
Venu Gopal
Phone: 848-202-7710
Email: venugopal(at)aptivacorp(dot)com
Job Types: Full-time, Contract
Salary: $70.00 - $73.00 per hour
Experience level:
10 years
8 years
9 years
Schedule:
8 hour shift
Work Location: One location
Speak with the employer
+91 8482027710",Business Analyst,"['database', 'communication']"
47,2,2,Business Analyst- CRM,Holman,Remote,Remote,"$85,000 - $95,000 ",r - Full-time,"Holman is a global automotive leader that serves both commercial and consumer clients The Holman Way by always doing the right thing for our people, our customers, and the community since 1924. The Holman story began nearly a century ago as a single Ford dealership in New Jersey. Today, Holman, headquartered in Mount Laurel, New Jersey, is one of the largest family-owned automotive service organizations in North America with more than 6,500 employees across North America, the UK, and Germany.
Holman delivers a unique range of automotive-centric services including industry-leading fleet management and leasing; vehicle fabrication and upfitting; component manufacturing and productivity solutions; powertrain distribution and logistics services; commercial and personal insurance and risk management; and retail automotive sales as one of the largest privately owned dealership groups in the United States. Guided by its deeply rooted core values and principles, Holman is continuously Driving What’s Right.
Job Purpose: The Business Analyst II, works with IT Project Leaders, as well as IT and Business personnel to provide assistance with project initiatives, in accordance with the PMO standards and procedures, to facilitate project success, compliance and quality.
Essential Functions:
· Captures business requirements via interviews with users, studying business processes and evaluation of existing systems, procedures and documentation
· Creates and maintains accurate and detailed requirements, scopes of work, functional specifications and associated documentation based on project standards
· Determines the scope and interfaces to existing systems and map out related requirements.
· Becomes subject matter expert in projects assigned
· Acts as an interface between business units, technology teams and support teams and support a collaborative environment.
· Collaborate with solutions architects and project leads on application design and usability
· Collaborate with developers
· Develop prototypes to illustrate application usability concepts
· Keep current with IT-related best practices, processes and systems.
· Ability to create wireframes, mockups and prototypes
· Ability to provide prototypes and design in HTML
Knowledge and Skill:
· Must be proficient in Microsoft Outlook, Excel, Word, PowerPoint, Visio, Project, and SDLC’s.
· Must be familiar with database concepts.
· Must be able to translate business requirements into software requirements.
· Must have the ability to understand technical designs and specifications.
· Effective communication skills are required.
· Must have effective interviewing techniques to elicit business needs and requirements.
· Understanding of the full project life cycle, project standards and methodologies is required.
· Must have a basic knowledge of system testing and software quality assurance best practices and methodologies.
· Must be able to work in a team environment and on own initiative.
· The ability to proactively initiate, develop and maintain effective working relationships with team members is required.
· Must be able to gather, analyze, interpret and document complex business processes.
· The ability to make effective decisions under pressure is required.
· Must keep current on business analysis methodologie
At Holman, we exist to provide rewarding careers and better lives for employees and their families. We hire, train, empower, and reward exceptional people. Our journey is guided by our desire to get it right every time and the acknowledgement that we have an opportunity to be better. To be better, we have to do better, and to do better we must know better. That’s why we are listening, open to learning new things – about ourselves and each other. We will never stop striving for improved diversity, equity, and inclusion because we are successful together when we feel trusted and supported. It’s The Holman Way.
Holman provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
Job Type: Full-time
Pay: $85,000.00 - $95,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Monday to Friday
No nights
No weekends
Supplemental pay types:
Bonus pay
Experience:
SQL: 1 year (Preferred)
Work Location: Remote

Health insurance",Business Analyst,"['database', 'communication']"
48,3,3,Business Analyst,Aalpha Tech Global,"Swiftwater, PA",Onsite,$40 - $45 ,ct,"Description:
Liaison between business and IT. Gather user requirements, validate data, interact with the business users to support new system integration.
Proactive reporting and analytics: Responsible for working with Account Management and other stakeholders to identify current and future needs which can be met proactively. Once identified, lead the development and delivery of agreed upon reporting and analytics in a timely manner.
Ad hoc reporting and analytics: Work closely with the Market Access heads to perform ad hoc data queries and provide insights and recommendations key to understanding the market, performance and making strategic pricing change. Also responsible for resolving reported discrepancies relative to membership, contract fee payments, and contract sales
Requirements:
Years of Experience: 3 - 6 Years
3+ years pharmaceutical/vaccine Managed Markets experience in Contracting, Pricing, Operations or other critical thinking discipline
Preferred experience with MicroStrategy, Model N, SAP
Strong computer skills including Excel, Word, Powerpoint, SharePoint and Teams
Must be able to work independently, initiate and carry out multiple contracting projects until completion
Excellent project management skills and demonstrated performance in similar role
Bachelor's Degree in Business or related field
Job Type: Contract
Salary: $40.00 - $45.00 per hour
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Business analysis: 5 years (Required)
Willingness to travel:
100% (Preferred)
Work Location: On the road",Business Analyst,['project management']
49,4,4,Business Analyst,Eclaro,"Cambridge, MA",Onsite,"$6,000 - $8,000 ",ct,"Description:
Job Description: Position Summary
Reports To: IT Business Partner, Strategic Digital Initiatives
At Client, digital innovation and Information Technology are central to our vision of transforming patients’ lives through science. To accelerate our ability to serve patients around the world, we aim to understand our Scientists’ needs and deliver fit-for-purpose digital solutions to enable their workflows.
We seek a scientifically oriented Business Analyst to join the IT Business Analysis practice. As a member central IT Business Analysis practice, the Business Analyst will flexibly analyze IT capabilities aligned directly to business functions.
The Business Analyst will collect, document, and analyze business processes, data, IT systems workflows, and elicit requirements from scientific researchers. The successful candidate will communicate findings to the project teams, made up of internal stakeholders and third parties. The Business Analyst’s contributions will support the team in identifying, defining, and delivering digital capabilities that enable Client to Client, develop, and deliver innovative medicines that help patients prevail over serious diseases.
Success in this role will leverage analysis and problem-solving skills that create positive, value-producing solutions.
Key Responsibilities
Lead Business Analysis activities:
o Perform current state analysis
o Perform future state ideation
o Map complex data flows, workflows, and IT system processes
o Document requirements and user stories
o Present findings and requirements (e.g. user stories) across audiences, including technical delivery team, R&ED IT leadership, and R&ED stakeholders
o Liaise with ITBPs, other Client, R&D stakeholders, and the delivery team to iteratively communicate requirements and facilitate feedback generation and sharing
o Liaise with external vendors to bring innovative solutions as considerations within Client environment
o Act as key project liaison for R&ED Scientists impacted by digital initiatives
Constructively advocate for value: Represents a ""voice of the customer"" and ensure project delivery teams are well informed to make the right trade-offs between speed, quality and cost.
Enable compelling business cases: Aid in the development of business cases for new digital capability investments. Identify, define, & measure business outcomes for highest value digital capabilities.
Bring an external view: Actively maintain awareness of external drivers in the business domain and relevant technology trends.
Qualifications & Experience
B.S. or M.S. in a relevant Life Sciences, technical, or Engineering domain.
Strong collaboration, communication, and presentation skills
0-3 years’ experience in a life sciences research laboratory setting or consulting setting.
Established record of partnership between scientific and technological roles to create digital solutions.
Experience with documenting hypotheses, requirements, and experimental outcomes.
Experience working in Agile development teams is desired.
Additional Job Requirements:
None
Remarks:
This is for a DIRECT HIRE.
Job Type: Contract
Salary: $6,000.00 - $8,000.00 per month
Schedule:
10 hour shift
Work Location: On the road",Business Analyst,['communication']
50,5,5,"Analyst I, Business Operations - Located in Gulf Breeze, FL",Mediacom Communications Corporation,"Gulf Breeze, FL 32563",Onsite,Full-time,Full-time,"Located in Gulf Breeze, FL

GENERAL RESPONSIBILITIES:
Assist in preparing and analyzing financial, profitability, budget and statistical reports for operations and senior executives. This is a role that requires a self-starter with strong analytical and problem solving abilities.

SPECIFIC RESPONSIBILITIES:
Perform statistical and financial analysis of data reported in various financial systems.
Provide financial support for the region and its operating systems including maintaining the budget, P&L, special programs, and contract analysis.
Provide financial support for the all lines of business.
Conduct in-depth analysis to identify specific trends, explain past performance and recommend opportunities for improvement.
Work closely with operations to analyze business, financial performance and key trends for senior management.
Assist with the maintenance of templates, reports, and data in the company's external budgeting system.
Special projects as needed.

PREFERRED EXPERIENCE/SKILLS:
A 4 year Finance or Accounting degree
3+ years Accounting, budgeting and/or financial analysis/financial reporting experience.
Cable television experience preferred but not required.
Organized and Detail Oriented.
Advanced Excel and Access Skills (modeling, large data manipulation).
Solid understanding of report query and design.
Ability to interact with senior management in a demanding work environment.

Keywords: Business Operations, Finance, Analyst, Accounting, Bookkeeping, Accountant

#LI-Onsite",Business Analyst,[]
51,6,6,Business Analyst,Infologitech,Remote,Remote,$40 - $58 ,ct,"Skills:
Experience gathering and documenting business requirements (mandatory) Required 10 Years
Experience in writing detailed Business Requirements and Functional Design documentation (mandatory) Required 5 Years
Experience working directly with senior stakeholders to determine improved business solutions (mandatory) Required 5 Years
Experience working with cross functional teams (mandatory) Required 5 Years
Experience creating process flow diagrams (mandatory) Required 5 Years
Excellent verbal and written communication. Candidate should be able to communicate well with project managers and stakeholders. Required 5 Years
Knowledge of business processes (mandatory) Required 5 Years
Ability to work independently as well as collaboratively (mandatory) Required 5 Years
Strong analytical skills (mandatory) Required 5 Years
Delivering and leading end user training sessions Desired 5 Years
Microsoft Dynamics CRM Certification Highly desired 5 Years
Knowledge of Agile methodologies (SCRUM) (desired) Highly desired 5 Years
Strong understanding of the CRM Platform and its functional modules (desired) Desired 5 Years
BSc in Business, Engineering, Computer Science or related field, or commensurate experience Required 3 Years
Experience serving as the Lead Business Analyst on combined team of analysts and developers (desired) Desired 5 Years
User Story documentation Desired 2 Years
Job Type: Contract
Salary: $40.00 - $58.00 per hour
Experience level:
10 years
Schedule:
8 hour shift
On call
Weekend availability
Education:
Bachelor's (Required)
Experience:
gathering and documenting business requirements: 10 years (Required)
Business Requirements and Functional Design documentation: 5 years (Required)
stakeholders to determine improved business solutions: 5 years (Required)
cross functional teams (mandatory): 5 years (Required)
creating process flow diagrams (: 5 years (Required)
Agile methodologies (SCRUM): 5 years (Required)
CRM Platform and its functional modules: 5 years (Required)
License/Certification:
Dynamics CRM Certification (Required)
Work Location: Remote",Business Analyst,['communication']
52,7,7,Business Analyst,omega solutions inc,"Columbia, SC",Onsite,Contr,ct,"Business Analyst
12 + months
Columbia, SC
SCOPE OF THE PROJECT:
The Replacement MMIS project is among the most complex IT projects taken on by the State’s Department of Health and Human Services. This project is a multi-year effort to replace many of the State’s aging Medicaid systems with modern technologies and supporting business operations.
DAILY DUTIES / RESPONSIBILITIES:
The principal duties of this position are to develop and maintain business rules along with associated artifacts such as requirements and models.
Specific duties include, but are not limited to:
Working and Using an Agile Methodology as it relates to completing sprints and working on tasks this included Daily Standups and reporting.
Develop business rules and requirements via interviews, translation of governing documents and other means.
Conduct JAD Sessions with the Product Owners and business owners.
Must have experience in performing detailed analysis and creating documentation.
Strong user support and interpersonal skills are required. Must be able to communicate and work effectivity with users, vendors, management, and other IT peers both verbally and in writing.
Must have strong analytical skills, the ability to think logically, and must be a self-starter able to research and find solutions independently.
Must have system analyst and development skills, experience with creating requirements.
Must know and have experience with SDLC processes.
Serve as team expert on Claim Adjudication, Reference, Waiver Programs, Managed Care Organization, Business Rules, and related topics.
Assist other team members in performing business rules and requirements.
Research and maintain business rules and requirements.
REQUIRED SKILLS (RANK IN ORDER OF IMPORTANCE):
1. 8+ years’ experience in government IT projects as a business analyst or related duties.
2. 6+ years’ experience eliciting, mining, and documenting business rules.
3. Strong knowledge of formal business rules methodologies.
4. Strong analytical skills.
5. Strong Understanding of State/Commercial Medicaid Claims, Benefit Plans, Claims Payment Cycle, Waiver Programs and Reference.
6. Ability to effectively communicate to executive management, line management, project management, and team members.
7. Experience and ability to obtain business rules and requirements information by interviewing business personnel and by mining laws, regulations, and policy documents.
8. Superb written and oral communications skills, including the ability to write requirements and Use Cases.
PREFERRED SKILLS (RANK IN ORDER OF IMPORTANCE):
1. Knowledge of Agile Methodologies.
2. MMIS experience (project or operations).
3. System analyst and development skills.
REQUIRED EDUCATION/CERTIFICATIONS:
Bachelor’s Degree in Technical, Business, or Healthcare field or equivalent experience (6 years).",Business Analyst,"['project management', 'communication']"
53,8,8,Business Analyst,Vydia,Remote,Hybrid remote,"$150,000 - $160,000 ",r - Full-time,"Vydia is looking for a meticulous and motivated Business Analyst to join our Finance team. This person will analyze potential artist deals in the music industry and provide strategic recommendations for business growth and success. This person will identify artist and B2B clients that will benefit from Vydia’s services in addition to growing our customer base. The Business Analyst will assist in the creation of strategic long term partnerships within the streaming music community on both the artist and Digital Service Provider sides of the industry.
If you have a passion for the music industry and business analysis, and are a self-starter, we encourage you to apply for this exciting opportunity.
Responsibilities:
Evaluate potential investment opportunities and provide recommendations for deals
Provide data collection, sorting, analysis and reporting for the following:
Sales: current and prospective client deals, client analysis for transactions, cash advances, catalog acquisition and performance
Business Development: transactions, market analysis, competitive analysis, valuation
Finance: Analysis of historical performance for KPIs
Responsible in analyzing sales deals to determine whether or not a business offering is worth pursuing
Collaborate with cross-functional teams, including legal, finance, and artist relations, to ensure successful execution of deals
Monitor and track the performance of deals to ensure desired outcomes are achieved
Provide regular reports and analysis on deals to inform business strategy and decision-making
Participate in budget/forecast meetings as needed and provide other analysis as needed
Stay up-to-date with industry news, trends, and emerging technologies related to music and finance
Requirements:
Bachelor’s degree in finance, accounting, or related field
2+ years of experience in finance, investment analysis, or a related field
Experience in the music industry, specifically with deals, is highly preferred
Strong analytical and problem-solving skills
Ability to work collaboratively with cross-functional teams
Excellent communication skills, both written and verbal
Proficiency in financial modeling and analysis software, such as Excel and Tableau
Reasons to work with us:
Vydia has been named Best Place to Work in NJ by NJBIZ 4x due to its collaborative, fast-paced, and fun, thriving environment
2022 winner of the NJBIZ Business Of The Year award (51-100 employees)
We are proud to be a Great Place to Work-Certified™ company!
Major growth opportunities alongside the growth of the company; Vydia has been identified as an Inc 500 Fastest Growing Company in America and by Entrepreneur Magazine as one of the most Entrepreneurial companies in America
Join a mission-based culture that enjoys giving back to the community through a variety of initiatives that are meaningful to our team members
Full medical/dental/vision package, 401k retirement, and financial wellness plans
We invest in your growth and development, providing a professional development stipend for continued education and mentorship to support your career goals
Hybrid/Remote flexibility to work from home: We’ll ship you a laptop and provide onboarding and introductory materials remotely; Visit offices in Holmdel, NJ, and Los Angeles, CA as needed.
Generous vacation policy: work hard and take time when you need it including maternity/paternity leave
Vydia CEO identified as 2021 Executive Technology Influencer by ROI-NJ, 2020 Billboard Indie Power Player, 2018 EY Entrepreneur of the Year Finalist, and 2017 Tech Innovator of the year by the Asbury Park Press, and highlighted by Forbes, Rolling Stone, and NPR.
We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.
About Vydia:
Vydia is an end-to-end music technology platform that provides labels with the infrastructure and tools to power their business. With a full suite of services, Vydia offers video and audio supply chain, global distribution, analytics, rights management, payments, detailed revenue reporting, and marketing. Vydia is a premium partner of leading digital service providers such as Spotify, Apple, TikTok, Vevo, YouTube, and Facebook. Combining innovative technology with industry expertise, Vydia is distribution reimagined. To learn more, please visit vydia.com.",Business Analyst,['communication']
54,9,9,Business Analyst,TIC Security,Remote,Remote,"$55,000 - $150,000 ",ct,"iQuasar LLC is seeking to fill the Business Analyst role . At iQuasar, we strive to provide the next generation of cutting-edge technologies. Our growth means exciting career opportunities for talented professionals in engineering, software development, and other key areas. We offer competitive compensation and benefits including Health, Vision, and Dental Insurance, a matching 401k plan, and other benefits given below, excellent training, and a vibrant working environment. Our employees are exceptional, giving us a competitive advantage by innovating solutions with a strong sense of mission and integrity.
Position: Business Analyst
Location: Remote
Position Type: Full time
Clearance: Ability to obtain Public Trust
Responsibilities:
Analyze business objectives and develops solutions to solve business issues for government enterprises
Use process improvement, reengineering methodologies, and internet-related methodologies and principles to conduct process modernization projects
Support activity and data modeling, development of modern business methods, identification of best practices, and creating and assessing performance measurements
Provide group facilitation, interviewing, training and additional forms of knowledge transfer
Perform Business Case Analysis (BCA) and cost-benefit analysis
Provide business process re-engineering support to identify inefficiencies and duplication of activities and to improve operational effectiveness and efficiency
Develop definition, benchmarking, and mapping of an organization’s mission and business processes in meeting the origination’s objectives
Recommend changes to core business processes and supporting staff/team/stakeholder engagement to ensure business process redesign
Have the ability to analyze and document business processes and requirements and to communicate concepts and proposed solutions effectively
Have familiarity or understanding of BA tools such as Visio, Tableau, PowerBI, Bokeh, Plotly, Infogram, LucidCharts,Qlikview, Spotfire, and SmartDraw
Requirements:
Minimum Education: Bachelor's Degree in accounting, business management, computer science, economics, finance, information systems, information technology, mathematics, statistics, operations research or business administration
Experience: 0 to 20+ years of relevant experience
Effective oral and writing capabilities
Multidisciplinary skillset
Harry
Sr. Recruitment Professional
iQuasar, LLC
Cleared Recruitment | Proposal Development | Technology
Direct: (703) 936-0124
Main: (703) 962-6001 Ext. 314
www.iQuasar.com
iQuasar, LLC is an Equal Opportunity and Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by law.
Job Types: Full-time, Contract
Pay: $55,000.00 - $150,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Education:
Bachelor's (Required)
Experience:
Business analysis: 10 years (Preferred)
Work Location: Remote
Speak with the employer
+91 7039360124

Health insurance",Business Analyst,[]
55,10,10,Business Analyst,Rackera Inc,"Sunnyvale, CA",Onsite,$70.01 - $75.32 ,ct,"Role: Business Analyst
Location: Sunnyvale, CA
Terms:12mos+
1. Work with People Org stakeholders to gather requirements to develop a ServiceNow HRSD solution for People. This includes closely working with the People BPR to deliver:
* ServiceNow Configuration Workbooks for all in-scope services
* Update and maintain HRSD Business Requirement Document (BRD)
* Review and stay on top of any new features from ServiceNow as it relates to HRSD
2. Analyze requirements received from People business groups, evaluate requirements with development team, liaise between development and business groups (People) to relay feasibility and timelines of how long it would take to implement requirements.
* Provide input into functional design of the requirements
* Create, update, and maintain HRSD requirement development Radars
* Work closely with development team to ensure they understand the business requirements in Radar and follow-up with the business and/or any groups such as UI/UX team for any clarifications
* Prioritize requirements for different sprints in Radar to ensure certain features for the tool are developed
* Create, update and maintain IS&T Design Playback Readouts
* Create, update, and maintain functional documentation on all developed HRSD features
3. QA/Functional/Regression Testing of software features
* Work with People BPR to validate features (UAT)
* Participate in QA/Functional/Regression Testing of software features
* Assist People PBR in creating test scripts
Job Type: Contract
Salary: $70.01 - $75.32 per hour
Benefits:
Health insurance
Schedule:
8 hour shift
Weekend availability
Experience:
SQL: 1 year (Preferred)
Work Location: On the road

Health insurance",Business Analyst,[]
56,11,11,Technical Business Analyst,DONIA LLC,"Brooklyn, NY 11222",Onsite,$57 - $62 ,ct,"Target Duration/End Date: 3 Years
Specific Responsibilities include but are not limited to:
The Technical Business Analyst will work closely with the Project Manager and will work with users, and various stakeholders to define, document, and validate processes and business rules to identify business and functional requirements that meet the business objective
Education:
Bachelor's degree. And at least five years of relevant experience
Skills and Experience Requirements:
· 5+ years
· MS Visio, MS Project
· Sound Experience in Business/Systems Analysis
· Strong expertise in technical documentation like Data Flow Diagrams, Use Cases, Functional Specifications, High Level Design, etc.
· Excellent interpersonal and communication skills
· Analytical skills
· Proven ability to understand business ideas/problems and develop technology solutions enable/solve business ideas/problems
· Ability to comprehend and translate business requirements into technical specifications
· Working knowledge of Microsoft Windows, Linux operating systems
(Resume must stand alone in demonstrating qualifications and experience)
Benefits:
· 401(k)
· Dental insurance
· Employee assistance program
· Health insurance
· Life insurance
· Vision insurance
Why work with us:
At Donia, we foster a culture of growth. We recognize that everyone brings unique skills and experiences to their work and that the company is better for such diversity. We encourage you to pursue your interest and grow within the company. We promote from within because we value and reward contributions
About us:
We are a Business Management Consulting and Staffing firm
Our founder is an engineer and seasoned business management consultant. The values of precision, quality, and reliability are embodied in all our work
We aim to delight our clients through the high quality of our service. So much so, that almost all our contracts are through Word of mouth and referrals. Because for over fifteen years, we have worked with Non-profits, City, State, and Federal Agencies – strategizing and putting together specialized teams that can tackle any project
Donia's team of collaborative solution-finders will meet you where you are and build the system that will get you to your goals. Let us know how we can use our Business Consulting and Staffing expertise to help you
(0036)
Job Types: Contract, Temporary
Pay: $57.00 - $62.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
Brooklyn, NY 11222: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
5+ years MS Visio, MS Project
You reviewed and are okay with the job details - including qualification requirements, location, duration, and pay rate?
Experience:
Business analysis: 5 years (Required)
Work Location: Hybrid remote in Brooklyn, NY 11222

Health insurance",Business Analyst,['communication']
57,12,12,Business Analyst,Storage Rentals of America,"West Palm Beach, FL 33401",Onsite,Full-time,Full-time,"Become the newest member of our exciting team at Storage Rentals of America (SROA) as we redefine storage!

We are currently looking to add a Business Analyst to our team.

The Business Analyst supports the Development team and works closely with stakeholders at all levels to identify areas of improvement and write technical requirements and documentations to support SROA’s continued growth. In this role the BA will need to think strategically, harness innovation, foster creativity, and facilitate the delivery of IT Services.
The key focus area for this role is E-commerce, Customer Relationship Management (CRM), and collaboration with the development teams and project manager to facilitate timely completion of project initiatives. The Business Analyst will work with business stakeholders, internal IT teams, and other cross functional and business resources to deliver and/or support the delivery of projects/initiatives. The Business Analyst will assist in the administration and enhancement of current solutions and implementation of new solutions.
Duties and Responsibilities
Effectively communicate, collaborate and conduct meetings/presentations to gather/validate requirements and create solutions across all departments. Be able to influence stakeholders to support project initivies.
Identify stakeholder requirements and translate business requirements into detailed technical requirements for Development team.
Work with stakeholders to understand the business and understand dependencies on upstream processes/groups and impacts on downstream processes/groups.
Create effective relationships with business stakeholders to manage expectations and alignment of team priorities with the business.
Assess and validate business requirements and assist in the recommendation and development of solutions that meet business needs. Create detailed business analysis reports outlining problems, opportunities, and solutions.
Responsible for developing/maintaining project-related deliverables as needed, e.g. Technical documentation, Software Requirements Specifications (SRS), Business Requirements Documents (BRD), User Cases, User Stories, User Documentation, status reports, issue escalations etc. as appropriate for size and complexity of efforts
For new initiatives, document current state process flows and develop future state process flows to facilitate business understanding and requirements definition.
Work with developers and end users to ensure designs meet business requirements.
Assist Developers in all phases of software systems programming applications and provide support to the Development Team’s technical pipeline.
Maintain a solid understanding of projects scope and any tasks/items that may impact delivery schedule.
Act as the project's point of contact for stakeholder questions on requirements, documentation, and functionality, as needed.
Other projects and duties as assigned.
Qualifications
Bachelor’s degree in IT or Management from an accredited college or university (Preferred) or equivalent
3-5 years of experience gathering, defining, and communicating business requirements
Must have minimum of 4 years experience as a Business Analyst
Proven experience managing IT projects, and initiatives
Proven experience influencing business process change and adoption of new approaches and tools
Experience working within an Agile Development project framework and a strong understanding of Agile Methodologies
Experience with MS Office suite of tools and software
Experience with Agile project management tools such as Jira
Experience creating tickets for software development – User Stories, Task, Sub task
SROA Offers:
Competitive pay with bonus potential
Medical/Dental/Vision Coverage
Generous 401(k) match
Paid Time Off
Learning and development opportunities to maximize your potential.
Great Culture
Opportunity to work independently

Storage Rentals of America was founded in 2013 and through an aggressive growth strategy, we have grown to over 350 locations across 24 states. It is our mission to deliver great value to our customers by providing affordable, clean, and secure self-storage facilities in the communities we serve. We utilize technology and proven management practices to build a great culture as an industry leader.
At Storage Rentals of America, we offer a career and opportunity to grow.
We are an Equal Opportunity Employer.",Business Analyst,['project management']
58,13,13,Business Intelligence Analyst,Bloom Healthcare,"Wheat Ridge, CO 80033",Onsite,"$70,000 - $100,000 ",r - Full-time,"Why work at Bloom Healthcare?
Bloom Healthcare is an employee-owned, innovative, and fast-growing primary care practice changing the way healthcare is delivered to the most vulnerable patients. Through surveying our employees, Bloom Healthcare has been recognized by the Denver Post as a top workplace two years in a row.
Our dedicated staff of board-certified MD's, NP's and PA's deliver comprehensive quality care within assisted living and personal residences, acting as both primary care provider and transitional care provider for patients who are homebound.
Bloom is seeking an exceptional Business Intelligence Analyst to join the team! This position will be joining Bloom’s Technology team.
Business Intelligence Analyst Responsibilities:
Use Microsoft Power BI to create visual dashboards and reporting solutions that provide meaningful insight to company operations and performance
Identify, analyze, and translate business requirements into analytical solutions, business scorecards, and management dashboards
Contribute to existing dbt projects to grow and maintain Bloom Healthcare’s transformation layer
Use SQL to dive deeply into healthcare data in order to respond to ad-hoc requests and provide relevant analysis.
Create and maintain clearly understood documentation for all analytics processes and completed deliverables
Work closely with internal stakeholders to understand the evolving needs of the company to support future project planning efforts
Requirements:
2+ years of experience serving as a Business Intelligence / Data Analyst using industry standard tools including Power BI, Tableau, Looker, etc.
2+ years of experience with SQL (we currently use Microsoft SQL Server and Snowflake)
1-2 years of experience working on dbt projects
Excellent written and verbal communication skills and demonstrated experience presenting complex technical topics to general business audience
Nice-to-haves:
Experience with Snowflake or another data warehouse
Experience with Python
Experience with healthcare data, specifically claims data
Experience with version control such as Git
Benefits:
100% covered employee Health, Dental and Vision insurance
401K
Employer paid Basic Life and AD&D policies
2 weeks PTO & 7 paid holidays
Pay: $70,000 - $100,000 annual salary
WHagioBEkQ",Business Analyst,['communication']
