,Unnamed: 0,Title,Company,Location,Type,Salary,Contract_type,Job Description,JobType,Industry
14,14,Human Resources Assistant,EforAll,Remote,Onsite,"$60,000 - $65,000 ",r - Full-time,"Human Resources Assistant
Title of Position: Human Resources Assistant

Reports to: Director of Human Resources

Job Type: Full-Time

Location: Remote (preferably EST or CST time zone)

Hours: Monday - Friday, 9:00 am - 5:00 pm


Position Summary:
EforAll is growing and hiring a support professional to handle daily administrative tasks for the Human Resources team. The Human Resources Assistant will ensure effective and efficient operations by supporting functions related to employee onboarding, benefits administration, and upkeep of employee and employer records and files. Maintaining the integrity and confidentiality of the human resource files and records are essential to this position.

Responsibilities:

Benefits Administration:
Ensuring compliance and benefits administration is efficient and accurate with great attention to detail.
Monitoring premiums and tracking appropriate administration of benefits.
Assists with planning and execution of special events such as benefits enrollment, org-wide retreat planning, and employee recognition events.
Employee and Employer Files:
Maintaining complete, accurate, and up-to-date employee files.
Updating and maintaining various onboarding and financial-related spreadsheets.
Provides clerical support to the HR department.
Onboarding:
Conducts and assists with new hire orientation and welcome meetings.
Facilitates completion of paperwork.
Employee file management.
Answers frequently asked questions from applicants and employees relative to onboarding, HR system inquiries, and standard policies and procedures.
Completes I-9 verifications through E-Verify.
Knowledge/Experience/Skills/Abilities:
Exceptional written and verbal communication.
Proficient with google suite.
Interpersonal with the ability to manage sensitive and confidential information with tact, professionalism, and diplomacy.
Organizational skills and attention to detail.
Excellent time management skills.
Strong analytical and problem-solving skills.
The ability to self-manage.
Comfortable working in a remote environment.
Bilingual (Spanish) preferred but not required.

EforAll provides equal opportunities to all employees and applicants for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, genetic disposition, neurodiversity, disability, veteran status, or any other protected category under federal, state and local law.",Human Resources,Human Resources
0,0,Human Resources Generalist,IPEX Group of Companies,"Preston, ID 83263",Onsite,Full-time,Full-time,"IPEX is one of the North American leading providers of advanced plastic piping systems. Our mission is to shape a better tomorrow by connecting people with water and energy.
We currently have an exciting opportunity as a Human Resources Generalist. This role is based in our plant in Preston, Idaho, and reports to the Human Resources Business Partner.
Do not miss the opportunity to join a broad family of people-centric professionals, leaders with a point of view and rapid problem solvers, entrepreneurs in spirit and status quo-fighters!
Job Summary
This role supports the delivery of HR projects, policies, programs, and procedures, ranging from recruitment, performance management to employee relations. The HR Generalist will act as the first point of contact for their assigned client group locations and collaborate closely with Corporate HR and Centers of Excellence (COEs) to provide support for a wide range of local level HR needs and initiatives.
Principal Responsibilities
Play a counsel role with the management team to establish good human resources practices in order to promote an efficient work environment.
Establish effective onboarding procedures and conduct new employee orientation.
Advise and guide assigned client groups on HR issues (e.g. conflict resolution, performance management, attendance issues). Advance issues as appropriate to COEs based on complexity.
Implement innovative human resource practices that promote team mobilization and dedication.
Partner with management team to promote employee growth and development (HR planning, career mapping)
Play a meaningful role in driving positive employee engagement
Act as a liaison between corporate HR, payroll and employees regarding Benefits, RRSPs, Payroll, HR, & Short Term Disability Claims.
Coordinate Claims Management and Return to Work for Non-Occupational injuries or illnesses
Facilitate relevant HR training to supervisors and hourly employees (ADA, Respect in the Workplace, Privacy, etc.) and maintain vital training records.
Support the HRBP and HR COEs as the need arises with the evaluation of trends and metrics.
Conduct Exit Interviews for hourly employees
Craft and maintain plant specific reference manuals, standards, policies, procedures, and work instructions that fall under the scope of Human Resources.
Requirements
Qualifications & Experience
Bachelor’s degree (or equivalent) in HR, Business, Organizational Development, or related field
Bilingual in English/ Spanish (verbal and written).
3-5 years HR experience, preferably with generalist focus.
Experience in a manufacturing environment – minimum 1 year
Ability to travel occasionally when required;
Strong skills oriented on teamwork, results and autonomy;
Excels at relationship building
Proficiency with HR information systems and the Microsoft Office Suite.
Experience in Workday and Dayforce an asset
Benefits
IPEX is committed to providing accommodations for people with disabilities throughout the recruitment process and, upon request, will work with qualified job applicants to provide suitable accommodation in a manner that takes into account the applicant’s accessibility needs due to disability. Accommodation requests are available to candidates taking part in all aspects of the selection process for IPEX jobs
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Preston, ID 83263: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Do you have at least 1 year working experience in a Manufacturing environment?
Education:
Bachelor's (Preferred)
Experience:
Workday: 1 year (Preferred)
Dayforce: 1 year (Preferred)
Language:
Spanish (Required)
Work Location: In person

Health insurance",Human Resources,Human Resources
1,1,Human Resources Manager,Gurney's Resorts,"Montauk, NY 11954",Onsite,"$80,000 - $90,000 ",r - Full-time,"Job Description
POSITION TITLE: Human Resources LOCATION: Gurney’s Montauk Resort &
Manager Seawater Spa
DEPARTMENT: Human Resources DESCRIPTION 3/3/2023
CREATION DATE:
CLASS: Management REPORTS TO: Director of Human Resources
UNIFORM REQUIREMENT No FLSA STATUS: Exempt
(YES/NO):
Who We Are//
Gurney’s Resorts are luxury, full-service hotels found in premier travel destinations in Montauk, New York, and
Scottsdale, Arizona. We strive to offer luxurious service to our employees and guests by being adaptable, present & engaged.
The Job//
The Human Resources Manager works to uphold an engaging employee experience by supporting all employee-related issues at our Montauk properties. This role partners with the Resort Leadership Team and builds strong partnerships between Human Resources and the business to foster a positive and fulfilling work environment. They are champions of our systems and ensure that systems and practices are being followed by the managers and team. As one of the primary points of success for all employees, this role sets the benchmark of our company Mission, Core Values, Policies &
Procedures and is driver of employee recognition programs.
Your Responsibilities//
Organizational Development & Culture:
Embodies the standards of the Gurney’s Brand by displaying professionalism in all forms of communication.
Demonstrate the ability to be a steward of our culture.
Ensure effective communication throughout the property.
Foster and maintain trusted and professional relationships with the Executive Team, Managers and all employees.
Be actively involved and visibly present in the daily operation for not only our employees, but also your associates.
Manages all pre-onboarding, onboarding, and training processes for all new hires.
Tracks all training programs and ensures participation.
Ensure accurate and timely processing of systems updates including new hires, terminations, and changes to pay rates using our Paypro Workforce, HRIS system and Kissflow, workplace platform.
Responds to employee questions and resolves issues in a professional and timely manner.
Maintains in-depth knowledge of Federal and State Laws, and company policies and procedures which assists with reducing legal risks and ensuring regulatory compliance.
Be an expert with our systems; Updates and maintains employee information in the HRIS system, and benefits platforms, in a timely manner.
Processes hourly personnel status change (address, pay, position, status, terminations, etc.) in a timely manner.
Collaborate with HR and Management Partners in creating and implementing reward and recognition programs and training strategies.
Plan and execute employee-engagement related activities.
J1 and H2B visa: recruitment and selection, job offers, petition filing, coordinating arrivals and departures, transportation reimbursement, attorney fees.
Administer insurance benefits, including COBRA and unemployment, explain benefits and answer questions, assist with completion of enrollment forms.
GRJD/HRM/3/3/2023
Monitor Workman’s Compensation claims, complete reports of injury and submit to carrier, complete OSHA 300 and all OSHA posting requirements.
Monitor First Aid claims and participate in coordination of return-to-work planning.
Respond to unemployment claims, as necessary.
Coordinates with managers regarding requests for leaves of absence and administrative policies and procedures.
Cooperate with any payroll, I-9 or other internal audits as necessary.
Maintains the strictest confidentiality in all work aspects and ensures continuing data integrity.
Responsible for maintaining a Safe & Comfortable work environment for all team members. Ensure all health and safety protocols are implemented and maintained. Guarantee any health procedures are executed as needed.
Purchase any items needed for department, including office supplies, training supplies and any employee related activity supplies in accordance with pre-determined budget.
Coordinate Staff Housing and support processes such as: room allocations, dormitory contracts, violations, transfers, check outs, maintenance, and security issues.
Team Expectations//
Understand and perform to the company's Mission Statement and Core values.
Maintain a clean and sanitary work environment. Keep all areas clean and organized at all times.
Be part of a team. Work together and be attentive to each other’s needs daily.
Maintain a gracious, pleasant and friendly attitude, while contributing to a teamwork-based work environment; assisting fellow team members as situations arise.
Embodies the standards of all the Gurney’s Brand by displaying professionalism in all forms of communication.
Attend all meetings required.
Take pride in your appearance while adhering to the Dress & Appearance Policy.
Work in a safe manner and abide by Workplace Health & Safety standards and Food and Safety Hygiene standards.
Adhere to the company policies regarding accident and incident reporting procedures.
All other duties assigned.
What We Offer//
Competitive pay
Telephone Allowance
Health, Dental, and Vision Benefits Plans
Free Life Insurance
STD, LTD
401k
Paid Time Off & Personal Time Off
On-property discounts
The Ideal Candidate//
Minimum three (3) years’ experience in Human Resources Related field of work.
Bachelor’s Degree preferred or equivalent work experience.
High School Diploma, or equivalent level of education, required (Must be able to add, subtract, multiply, and divide in all units of measure)
Excellent verbal and written communication skills. Ability to read, speak and interpret documents in clear
English. Ability to communicate in secondary language is a plus.
Computer friendly with a strong proficiency with MS Office Programs.
GRJD/HRM/3/3/2023
Must be able to exert well-paced ability in limited space and to reach other locations of the area in a timely basis.
Must be able to multi-task and manage in high volume, and high stress environments. Possess a “roll up your sleeves” attitude
Must have manual dexterity to use and operate all necessary equipment.
Must be able to reach, bend, stoop, and stretch. Can frequently lift up to 30 pounds, as well as work in a standing position for long periods of time (up to 10 hours).
Must be able to work a flexible schedule. (Including mornings, evenings, weekends, and holidays)
You are a detail-oriented self-starter with an entrepreneurial spirit.
Ability to work and remain calm and professional under potentially stressful situations.
NOTE: JOB DESCRIPTION IS SUBJECT TO CHANGE BASED ON BUSINESS NECESSITY.
The job description isn’t meant to be complete list of your qualifications or all the things you’ll do.
EQUAL OPPORTUNITY EMPLOYER
MEI GNY LLC –is an Equal Opportunity Employer. In compliance with the Americans with Disabilities Act, MEI GNY, LLC will provide reasonable accommodations to qualified individuals with disabilities and encourages both prospective and current employees to discuss potential accommodations with the employer.
CONFIDENTIALITY AND DISCRETION
Employee must maintain the confidentiality of all company and customer information and must not discuss such matters outside MEI GNY, LLC. Tact and discretion must be used in all dealings with all customers and potential customers to maintain a positive image of MEI GNY, LLC.
By signing below, I acknowledge that I fully understand all functions and requirements of my job and I am able to perform them.
Employee Signature Date
Director Signature Date
GRJD/HRM/3/3/2023
GRJD/HRM/3/3/2023
Job Type: Full-time
Pay: $80,000.00 - $90,000.00 per year
Benefits:
401(k)
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Referral program
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Montauk, NY 11954: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location

Health insurance",Human Resources,Human Resources
2,2,Human Resources Administrator,Riverside Casino & Golf Resort,"Riverside, IA",Onsite,$19 - $21 ,n hour - Full-time,"This position is responsible for day to day administration of the recruiting processes, with the overall purpose of enabling quality and timely hiring to meet the company’s staffing needs.
Essential Functions:
Provide exceptional guest service to all customers.
Manage the staffing requisition process to include internal and external job postings.
Sourcing for all positions to include appropriate applicant quality and quantity to meet our staffing needs, to include working with our marketing partners on the creation and placement of digital and social media ads.
Manage the application flow process, from initial intake to final resolution.
Screen and interview applicants, assist with the selection process as needed.
Assist in facilitating the new hire process, including working with managers and candidates to ensure timely completion of all new hire process steps.
Attends and participates in job fairs and recruiting events.
Manage the employee referral program.
Manage interview and selection documentation to ensure the company is compliant with all applicable employment laws.
Conduct candidate reference checks as needed.
Assist in the facilitation of new hire orientation.
Create and maintain all appropriate record keeping/documentation for assigned areas of responsibility.
Assist with other HR duties as assigned.
Required:
Minimum of A.A. Degree or related equivalent experience.
Minimum of 2 years of HR, office administration, claims administration, and/or guest service experience, which must include significant daily interactions with customers or employees.
Must demonstrate excellent organizational and time-management skills.
Must demonstrate excellent oral and written communication skills. Demonstrated ability to communicate effectively in difficult or emotional circumstances.
Must have demonstrated proficiency in accurately handling detailed work.
Must have demonstrated proficiency in Microsoft Office programs, including Word and Excel.
Must have ability to obtain Iowa Racing & Gaming Commission license.
Schedule: Full-Time, Monday-Friday
Salary: $18.50 - $20.00/hr (DOE)
Job Type: Full-time
Pay: $19.00 - $21.00 per hour
Schedule:
8 hour shift
Monday to Friday
Work Location: One location",Human Resources,Human Resources
3,3,Human Resources,United States Department Of Defense,"West Jordan, UT 84088",Onsite,"$25,575 - $100,695 ",ct,"As a Human Resources Specialist, you’ll play a crucial role assisting your fellow Soldiers progress in their Army careers, providing promotion and future training information. You’ll ensure the necessary support is also provided to commanders across all branches. You’ll be trained in document preparation, drafting requests, and overseeing official documentation, such as ID cards and tags. You’ll also learn computer programs that keep personnel data up to date.
Job Types: Full-time, Part-time, Contract
Pay: $25,575.11 - $100,694.93 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
On call
Supplemental pay types:
Signing bonus
Application Question(s):
Are you willing to undergo a background check?
Education:
High school or equivalent (Preferred)
Work Location: One location

Health insurance",Human Resources,Human Resources
4,4,HR Generalist,Great Dane,"Wayne, NE 68787",Onsite,"$65,000 - $70,000 ",r - Full-time,"HR Generalist
Description
The Human Resources Generalist is responsible for supporting all functions of the Human Resources department. The generalist is knowledgeable and responsible for the administration of company policies, procedures and programs. The role will also be accountable in areas such as staffing, HRIS, compensation/benefits, employee relations, talent management, organizational development and training.
Key Responsibilities:
Maintain employee-related databases. Prepare and analyze reports that are necessary to carry out the functions of the department and the company.
Partner with local management to communicate HR policies, procedures, programs and laws.
Conduct workplace investigations when employee complaints or concerns are brought forth.
Advise managers and supervisors about the steps in the progressive discipline system of the company. Counsel managers on employment issues.
Assist with the monitoring of employee wages and promotions.
Process, verify and maintain personnel related documentation, including but not limited to background check, new hire paperwork, E-Verify, and status changes
Administer benefits enrollment and handle leaves of absence requests
Protect the interests of employees and the company in accordance with company polices and governmental laws.
Handle full cycle recruiting efforts; prepare job postings, place recruitment ads, screen applicants and resumes, conduct candidate interviews and reference checks, and provide hiring managers with best qualified candidates; communicate employment offers to selected candidates and negotiate counter offers when required.
Maintain employee hardcopy files. Inputting employee personal data into human resources information/computer system (HRIS) database.
Process various forms related to documenting human resources activities such as new-hire, change-of-status, performance evaluations, benefits, terminations, etc.
Handles employee’s day-to-day questions and inquires on policies, benefits, payroll, and compensation.
Assist HR Manager in identifying, evaluating, and resolving employee relations, employee morale, work performance, and organizational productivity concerns.
Assist HR Manager in managing and implementing engagement committee events
Complete documentation for employment verifications, medical support, and unemployment claimant responses.
Ensure adherence to applicable employment law related regulations and statues as well as organizational procedures and policies.
Ensure adherence to applicable employment law related regulations and statues as well as organizational procedures and policies.
Other duties as assigned.
Qualifications
Job Requirements:
Education: Bachelor’sdegree in Human Resources or Industrial/Organizational Psychology or equivalent experience in Human Resources.
Strong generalist experience
Skills: Strong analytical skills and ability to perform statistical analysis
Previous HRIS experience, including applicant tracking systems
Advanced experience in MS Office programs, including Word, Excel and PowerPoint
Knowledge of recruiting, human resources, and organizational development practices and procedures
Ability to recruit and evaluate applicants using independent judgment and discretion
Understand administrative procedures and systems
Strong verbal and written communication skills
Positive attitude, high energy, enthusiastic and detail oriented
Proactive in anticipating issues and following through on resolution
Ability toquickly learn, understand and apply new technologies
Effective in prioritizing and executing tasks
Proven ability to influence others and drive organizational change
Ability to think strategically and understand business plans, goals and objectives, and to relate to those in developing HR initiatives and objectives
Working knowledge of applicable State and Federal laws and regulations in the US•PHR/SPHR certification plus
Travel: Minimal if any.
Primary Location
: US-NE-Wayne
Work Locations
: Wayne Plant 1200 N Centennial Rd Wayne 68787
Job
: Human Resources
Schedule
: Full-time
Shift
: 1st Shift
Location: Wayne Plant 1200 N Centennial Rd Wayne 68787, Wayne, NE 68787
Location: Wayne Plant 1200 N Centennial Rd Wayne 68787, Wayne, NE 68787
Job Type: Full-time
Pay: $65,000.00 - $70,000.00 per year
Schedule:
8 hour shift
Day shift
Monday to Friday
Work Location: One location",Human Resources,Human Resources
5,5,Human Resources Generalist,Lake Shore Savings Bank,"Dunkirk, NY 14048",Onsite,Full-time,Full-time,"Lake Shore Savings Bank is committed to the communities in which we serve by providing outstanding customer service to our customers. To do so we feel it is important to provide outstanding career opportunities to our employees.
If you are looking for a rewarding position with great potential, outstanding benefits and a job you can be proud of, then work where you bank at Lake Shore Savings Bank!
We are currently looking to fill a Human Resouces Generalist position. The Human Resources Generalist manages the day-to-day functions of the Human Resource Department through direction from the Senior Vice President of Human Resources. The HR Generalist will provide support to the employees and management in human resources related policies, payroll, benefits, and other areas as required.
Administer benefits including medical, dental, vision, life insurance, STD/LTD, 401(k) in accordance with policies
Weekly payroll processing
Maintain knowledge of HR policies and procedures as well as state and federal labor laws.
Address employee relations matters including policy interpretation, conflict resolution
Central point of contact for employees concerning payroll, HR policies, benefits
Maintain Company’s HR policies, procedures, files, and employee handbook
Prepare or update employment records related to hiring, transferring, promoting or terminating.
Time-off management
Coordinates separation of employees including conducting exit interviews, notifying appropriate parties within the organization, and responding to external agencies.
Assists with research on employment laws and HR policies; recommend and draft HR policies; revise existing policies.
Supports HR processes and actively participates in efforts to streamline and improve HR activities and processes through technology.
Required Skills
Minimum of 4 years experience in a relevant Human Resources role, including payroll administration.
Bachelor’s Degree in Human Resources Management or related discipline (equivalent career experience will be considered)
Solid understanding of HR laws, regulations, policies, and procedures
Excellent interpersonal, written, and verbal communication skills
Proactive thinker who is motivated to undertake new responsibilities and manage multiple priorities.
Required Experience
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Work Location: One location

Health insurance",Human Resources,Human Resources
6,6,Human Resources Generalist II,Coca-Cola Bottling Company High Country,"Rapid City, SD 57702",Onsite,"$60,000 ",r - Full-time,"Description:

Coca-Cola, with its many brands, has been recognized and enjoyed by people around the world for over a century. Founded in 1956, Coca-Cola Bottling Company High Country is a family owned, regional Bottler serving portions of Colorado, Minnesota, Montana, North Dakota, South Dakota, Utah, and Wyoming.

Every day we honor our core values of Honesty, Integrity, Trust and Respect through encouraging our team members to develop, grow and serve. Together we become more effective and productive… in life and work.
Refresh your career and join us in refreshing the world!
Apply Today!

Base Salary for the Human Resources Generalist II role is $60,000 a year depending on experience.
Robust benefits package including 100% paid employee health and dental options!

What will you do as a Human Resources Generalist II?
As part of the Human Resources Team, the Human Resources Generalist II performs HR-related duties on a professional level and works closely with management and employees to align business objectives in designated geographical locations. The HR Generalist II is responsible for providing exceptional customer service to internal and external customers. This position partners with the Director of Human Resources to develop, implement and maintain appropriate policies and processes, develop and conduct appropriate learning and development programs, and ensure compliance with all local, state and federal regulations. Additionally, the Human Resources Generalist II is expected to live and demonstrate the Company’s Culture while being a servant leader within the company and the communities we serve.

Partner with employees and management to develop, implement & communicate policies, procedures, laws, standards and government regulations with guidance from Director.
Monitor changing laws and make policy/process recommendations.
Work with HR Manager and Director to create learning and development programs and initiatives that provide internal development opportunities for employees and managers.
Develop and facilitate New Hire Orientation and New Manager HR Orientation, keeping content fresh and up to date.
Update and maintain employee records ensuring accurate system codes, and maintain employee files assuring accuracy, compliance and confidentiality.
Partner with managers on employee relations issues and advise on corrective action up to and including termination.
Process terminations timely, including inactivating and/or removal from all systems and advising Payroll and other affected departments.
Oversee the Alcohol and Drug Free Workplace program including reasonable suspicion testing in accordance with the company’s policies and practices and federal and state regulations.
Report, maintain and monitor Workers’ Compensation claims initiating Return to Work Program when appropriate and ensuring compliance and reporting with OSHA.
Report, maintain, and monitor FMLA and other Leaves of Absence incorporating ADA and Short-Term Disability as appropriate.
Maintain and process all Unemployment Notices and potential charges in a timely, efficient manner. Attend unemployment hearings when necessary.
Partner with, counsel, and guide managers in matters of employee relations, investigations, and performance management in line with company policies, practices, culture, and government regulations.
Participate in developing department goals and systems. Participate in required meetings and seminars.
Assist in evaluation of reports, decisions and results of department in relation to established goals.
Recommend new approaches, policies and procedures to effect continuous improvement in efficiency of department and services performed.
Maintain updated process documentation for all functional areas of responsibility.
Develop and maintain HR standard operating procedures for all organization personnel.
Administer employee evaluation program including 90-day and annual performance evaluation process and documentation, making recommendations for enhancements as needed.
Partner with management in developing employee performance evaluations and performance improvement plans, and monitor employee performance evaluations to ensure completion in a timely manner.
Assist Talent Acquisition Specialist and managers in interviewing and screening of job applicants to fill entry-level, professional and technical positions.
Understand and communicate company benefit information to employees.
Maintain local, state and federal compliance in carrying out HR Generalist II job functions in accordance with company policy and culture.
Requirements:

Education and Experience
Bachelor’s Degree in Human Resources or a related field or equivalent combination of education and Human Resources experience.
Three to five years’ experience in a related Human Resources position.
SHRM-CP or SHRM-SCP Certification preferred.
Microsoft Office proficiency including Microsoft Word, Excel, PowerPoint, and Outlook.
Job Knowledge, Skills and Abilities
Strong interpersonal, verbal and written communication skills.
Ability to research and analyze various types of data, especially compliance and regulatory standards.
Detail-oriented with ability to plan and carry out job tasks independently.
Must be able to exercise discretion and solid judgment.
Ability to set priorities, manage multiple tasks simultaneously and adapt efficiently to change.
Effectively interface with all levels of employees and management.
Maintain a professional appearance and provide a positive company image.
Adaptability – Ability to adapt to change in the workplace.
Communication – Ability to effectively, clearly and concisely communicate verbally and in writing.
Enthusiasm – Ability to bring energy to the day-to-day as well as long-term tasks and plans.
Reliability – Demonstrate reliability & dependability through regular attendance, availability to staff and management, and prompt and consistent follow-through.
Safety & Security – Promote and personally observe safety and security procedures and use equipment and materials properly.
Organization – Must be detail oriented and able to multi-task.
Confidentiality – Must maintain the highest level of confidentiality.
Honesty, Integrity, Trust & Respect – Must be seen as truthful and credible and exhibit respectful behavior in all actions representing the Company.

Physical Demands
Work in a professional office environment; sustained posture in a seated position for prolonged periods. This role routinely uses standard office equipment such as laptop computers, photocopiers and phones.
Work involves walking, talking and hearing using hands to handle, feel or operate objects. Vision abilities required by this job include close vision and the ability to focus when using computer monitor.

Human Resources Generalist II Benefits will include:
100% Employer Paid Health Option for Employees
100% Employer Paid Dental for Employees
100% Employer Paid Life Insurance for Employees
401K With Employer Match
Much more!
Our Highest Principle – Honor God in all that we do. We believe in the Dignity & Worth of every person!
Coca-Cola Bottling Company High Country is an Affirmative Action/Equal Opportunity Employer and adheres to a drug-free workplace.",Human Resources,Human Resources
7,7,Human Resources Generalist,U.S. Government,"Dallas, TX 75202",Onsite,"$37,331 - $84,530 ",ct,"As a Human Resources Specialist, you’ll play a crucial role assisting your fellow Soldiers progress in their Army careers, providing promotion and future training information. You’ll ensure the necessary support is also provided to commanders across all branches. You’ll be trained in document preparation, drafting requests, and overseeing official documentation, such as ID cards and tags. You’ll also learn computer programs that keep personnel data up to date.
Job Types: Full-time, Part-time, Contract
Pay: $37,331.00 - $84,530.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Signing bonus
Education:
High school or equivalent (Required)
Work Location: One location

Health insurance",Human Resources,Human Resources
8,8,Human Resources Assistant,Vimo Inc,California,Remote,"$41,600 - $78,100 ",r - Full-time,"Hi. We're GetInsured, the market leader in SaaS-based state-based health insurance exchanges (the fastest-growing segment of health insurance delivery). In other words, we help people get insured millions, in fact. While our mission has always been to make finding and enrolling in health insurance simple, our vision has grown. We're expanding our pioneering SaaS model to public health and safety net services, not just state health insurance platforms. That means there are millions more across the country that we can have an impact on. As our vision grows, so does our team. We're looking for people who are passionate about what they do to join our crew comprised of founders, technology leaders, former exchange directors, CIOs, and policy staff, to name a few.
What we offer
Positions within the company that allow you to make an immediate impact. Our teams are reshaping rapidly growing and evolving market segments. You will ultimately help craft the company's next success story. We're a well-funded and stable private company. GetInsured is an Equal Opportunity Employer.
Opportunity to work remotely
A knowledgeable, dedicated, and experienced team
Health, Dental, Vision, Life, Disability
401k match
Stock options
Yearly Education allowance
Charitable contribution matching
A competitive base salary (geography/location and experience may impact compensation)
GetInsured is looking for a Human Resources Assistant to join our corporate team. The HR Assistant will assist HR with Administrative duties.
Responsibilities
Maintains accurate and up-to-date human resource files, records, and documentation.
Answers frequently asked questions from applicants and employees relative to standard policies, benefits, hiring processes, etc.; refers more complex questions to appropriate senior-level HR staff or management.
Maintains the integrity and confidentiality of human resource files and records.
Performs periodic audits of HR files and records to collect and file all required documents appropriately.
Provides clerical support to the HR department.
Assists with planning and execution of special events such as benefits enrollment, organization-wide meetings, employee recognition events, holiday parties, and retirement celebrations.
Facility-related needs (ordering supplies, calling for vendor repairs, etc.)
Performs other duties as assigned
Skills/Experience Required
Excellent verbal and written communication skills.
Excellent interpersonal skills with the ability to manage sensitive and confidential situations with tact, professionalism, and diplomacy.
Excellent organizational skills and attention to detail.
Proficient with Microsoft Office Suite or related software.
Proficient with or able to quickly learn human resource information systems (HRIS), and similar computer applications.
Excellent time management skills with a proven ability to meet deadlines",Human Resources,Human Resources
