Title,Company,Location,Type,Salary,Contract_type,Job Description,JobType,Industry
Head Chef,Bumblebee Bistro,"Enosburg Falls, VT 05450",Onsite,"$74,000 - $85,000 ",r - Full-time,"Bumblebee Bistro is a brand new restaurant coming to Enosburg Falls, a small village in northern Vermont along the Quebec border. We are looking for a creative chef, one willing to work with local farmers and ranchers to bring fresh, quality food to our customers. We believe food should be local as much as possible and should be made from scratch. Our chef will have lots of opportunities to be creative and innovative. Your opinion will be highly valued.
We plan to be a breakfast, brunch and lunch spot. We often refer to the quality we seek as being ""old fashioned"" but what we mean is a return to real cooking when food was high quality and not just dumped out of a frozen bag. We want to make our food available to every diet, so we plan on offering vegetarian, vegan and gluten free options. We have a diverse array of clients, so we will not only have the amazing salmon eggs Benedict but also the homestyle meatloaf for the old time farmer. We want to offer old fashioned classics along with bright, fresh, new ideas.
We currently own a country store/coffee house nearby in East Berkshire called Barn Owl Bistro and Goods. Look us up on social to see how we do things. You'll get an idea of our vibe. We are family owned and local.
Job Type: Full-time
Pay: $74,000.00 - $85,000.00 per year
Benefits:
Food provided
Health insurance
Paid time off
Experience level:
4 years
Pay rate:
Yearly pay
Shift:
10 hour shift
Day shift
Morning shift
Supplemental pay types:
Bonus pay
Performance bonus
Yearly bonus
Weekly day range:
Monday to Friday
Weekend availability
Work setting:
Café
Casual dining restaurant
Ability to commute/relocate:
Enosburg Falls, VT 05450: Reliably commute or planning to relocate before starting work (Required)
Experience:
Kitchen: 3 years (Preferred)
Cooking: 3 years (Preferred)
Work Location: One location

Health insurance",Chef,Service
Chef,Merriman's Hawaii,"Koloa, HI 96756",Onsite,Full-time,Full-time,"Merriman's Kauai is hiring a Restaurant Chef!
Having a chef as founder and owner of our restaurants makes Merriman’s a fantastic kitchen for anyone who loves to cook and is looking for a career in food service! Not only do we work with the best ingredients, local farmers and ranchers, we also use the very best cooking techniques and will train!
Pay & Benefits:
Base Salary: $100k depending on experience
Bonus Opportunity: Up to $10,000 annually
In House Dining Allowance at all Merriman's & Monkeypod restaurants: $5,000 / year
Medical, Dental, Vision, and Life Insurance fully covered by Merriman’s, including family coverage
401(k) Plan Eligibility after 1 year
PTO: 1 week paid during year 1, 3 weeks paid in years 2-3 and 4 weeks after 4 years
4-day work weeks available
Education Benefits:
Culinary Travel: Yearly all expenses paid culinary educational excursion
$200/year cookbook allowance
$2,500 for approved culinary classes
Menu planning meetings with corporate Chef
Uniform Allowance: $250/year
All Merriman's Employees are required to be vaccinated against Covid-19. Medical or religious exemption requests will be considered.",Chef,Service
BANQUET CHEF,Hyatt Regency New Orleans,"New Orleans, LA 70113",Onsite,"$62,900 ",r - Full-time,"Summary
Join us for this incredible opportunity to be part of our Culinary team as the Banquet Chef at the Hyatt Regency New Orleans. Not only will you be part of a rock-start team who lives their purpose of caring for people so they can be their best, but you’ll get to be part of a company that earned the 16th spot on Fortune’s 100 Best Companies to Work For in 2021, honored as one of the top 100 Companies that Care according to People, named Built-In's 100 Best National Large Companies to Work For in 2022, recognized as a Best Place to Work for Women, Diversity, LGBT Equality, and Millennials, and named one of New Orleans Best Places to work 9 years running!
The goal of the Banquet Chef is to manage the banquet kitchen/function within a 1200 room hotel containing 200,00 sq ft of meeting space. The Banquet Chef will take council from the Executive Chef and Executive Sous Chef to create, implement menu and concepts, and execute the production of a high volume banquet kitchen function. The Banquet Chef will lead the kitchen for a variety of banquet functions to client tastings all the way to multiple thousand person VIP events/galas. They will be responsible for leadership, training, and quality control in execution of the Banquet Kitchen team. This role requires creativity, strong leadership, and ability to faciliate large volume production for both on property events and off premise catering.
Responsibilities include:
Act as senior leadership by developing and assuming key management responsibilities
Assume the role of liaison between all dining room operations and culinary staff
Supervise the preparation and cooking of various food items
Develop and implement creative menu items within the banquet functio concept/client preferences
Plan, coordinate & implement special events and holiday functions
Manage hourly kitchen employees through scheduling, payroll, training, coaching, evaluating and hiring
May manage other key culinary leadership rolls including supervisor and other less senior Sous Chefs
Lead and coach the team towards achieving exceptional guest service and employee satisfaction results
Monitor food production, ordering, cost, and quality and consistency on a daily basis
Participate in marketing events directly related to their specific restaurant
Hyatt is a place where high expectations aren't just met-they're exceeded. It's a place of outstanding rewards, where talent opens doors to exciting challenges in the hospitality industry. It's a place where career opportunities are as unlimited as your imagination. Discover your place to shine in our warm, respectful, and inclusive culture.
Our excellent benefits include:
Free room nights, Discounted and Friends & Family Room Rates
Medical, Prescription, Dental and Vision Insurance
401K with company match
Paid Time Off, Holiday Pay, new child leave and personal day
Paid Family Bonding Time and Adoption Assistance
Employee Stock Purchase Plan
Discounts at various retailers – Apple, AT&T, Verizon, Headspace and many more

COVID-19 Safety: Hyatt Hotels follows all COVID-19 CDC and US] Health department protocols for the safety of our employees and guests.
Hyatt is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

Qualifications
In-depth skills and knowledge of all kitchen operations, especially large volume production or prior banquet kitchen experience, preferrably within hotels
Possess strong leadership, communication, organization and relationship skills
Experience with training, basic financial management and customer service
Proficient in general computer knowledge
A true desire to exceed guest expectations in a fast paced customer service environment
Capable of producing a consistent product in a timely manner
Strong training and communication skills
Culinary education and/or on the job training, independent restaurant experience is preferred
Geographic and schedule flexibility preferred",Chef,Service
Executive Chef,Viale Pizza and Kitchen,"Denver, CO 80222",Onsite,"$75,000 - $100,000 ",r - Full-time,"Executive Chef
Vialé Pizza & Kitchen is an independently owned neighborhood restaurant which has been serving New York inspired Pizza and Italian cuisine for the past 6 years. As we celebrate this huge milestone - made possible by our loyal customer base and hard working staff - we continually seek employees with a long term vision and strong work ethic.
We are seeking an Executive Chef to join our restaurant family!
Our ideal candidate will possess the following qualities:
The ability to be a strong leader who actively works on the line with their staff five nights a week.
The maturity to delegate effectively in a fast paced kitchen.
Commitment to striving for the highest standards of consistency in all dishes.
An enthusiastic approach to cuisine (ideally Italian) with the ability to inspire and encourage other team members.
Strong leadership skills: assertiveness / confidence / honesty / punctuality / dedication.
The candidate we select will be responsible for:
Training staff on dish preparation, cooking techniques and procedures.
Keeping the menu consistent - yet progressive, and embellishing with seasonal flair.
Overseeing day to day operation of kitchen: maintaining safe cooking practices, cleaning schedules, prep lists, etc.
Staff scheduling and team member absence.
Performing weekly inventory in order to maintain company standard food cost.
Being point of contact for all food vendors and orders.
Maintaining communication between the front and back of the house.
Setting and monitoring performance standards for all staff.
Unparalleled Compensation:
$75 - $100k (based on experience)
Insurance health plan.
Paid time off.
Weekly payroll.
Employee meals.
Our current hours are as follows:
Sunday - Tuesday 4pm - 9pm
Wednesday & Thursday 11:30am - 9pm
Friday 11:30am - 10pm
Saturday 4pm - 10pm
Job Type: Full-time
Pay: $75,000.00 - $100,000.00 per year
Benefits:
Food provided
Health insurance
Paid time off
Experience level:
5 years
Shift:
Day shift
Evening shift
Morning shift
Weekly day range:
Every weekend
Monday to Friday
Weekend availability
Work setting:
Casual dining restaurant
Work Location: One location

Health insurance",Chef,Service
Regional Culinary Director,Skilled Management,"Downey, CA",Onsite,"$90,000 ",r,"Skilled Management Inc is looking to hire a Regional Culinary Director ! Come join our amazing team!

Our Mission:
Our mission is to enhance the lives of our senior residents by providing exceptional care, engaging programs, and promoting their physical and mental health. We strive to create a warm, welcoming, and supportive environment that feels like family for the individuals we serve and employ.
We would love to hear from you if you can answer YES to the below questions.
Are you a team player?
Can you be committed to our mission?
Do you have a passion for senior care?
About our team:
A talented and motivated group that shares a passion for senior care
Outstanding leadership support
Culture of creating a safe, comfortable, and inclusive work environment

What you will do:
The Regional Culinary Director will travel throughout the region to assigned communities to support culinary services on a weekly, monthly, or extended period.
This position will provide direct support for vacant or new Culinary Directors and will maintain scheduling, ordering, financials, staffing, hiring, and other tasks related to the excellent service and management of the culinary operation.
Must be willing to travel 100% of the time within the States of California. Travel assignments may be for extended periods of time and may frequently change; flexibility and availability are required.
Must haves:
Must have a high school diploma or equivalent. College courses or other education in foodservice and/or management preferred.
Preferred a minimum of 3 years or more as an Executive Chef or equivalent in assisted living
Ideal candidate will reside in the Los Angeles market.
Pass a DOJ Criminal Background Check.
Must have well-rounded skills in cooking and be able to adapt to multiple types of resident demographics. Be willing and flexible and maintain satisfaction with all guests and residents.
Strong ability to organize and execute events and catering.
Maintain a current ServSafe Manager certificate and exhibit a clear understanding of procedures to maintain the highest level of cleanliness and sanitation and the ability to get others motivated to do the same.
Would be great:
Preferred a minimum of 3 years or more as an Executive Chef or equivalent in assisted living
Ideal candidate will reside in the Los Angeles market.

What we offer
Great benefits – Medical, dental, and vision coverage
401k(up to 3% discretionary match after 1 year of service)
Paid Time Off (two weeks to start and 3weeks after one year of service)
Pay rate $90,000 per year.
Connect with us on LinkedIn!
https://www.linkedin.com/company/skilled-management/mycompany/
Equal Opportunity Employer
All qualified applicants will be considered for employment without regard to their race,
color, religion, sex, age, national origin, gender identity, sexual orientation, genetic
information, protected veteran status or any other characteristic protected by law, and
will not be discriminated against on the basis of disability.",Chef,Service
Senior Executive Chef,University of Michigan,"Ann Arbor, MI 48109",Onsite,"$71,000 - $81,000 ",r - Full-time,"How to Apply
A cover letter is required for consideration for this position and should be attached as the first page of your resume. The cover letter should address your specific interest in the position and outline skills and experience that directly relate to this position.
Summary
Department Summary
Michigan Dining is comprised of twenty-one on-campus cafes and markets, nine residential dining halls, a line of Blue to Go foods and the Michigan Catering unit. Our 300 professional and 2000 student employees are committed to creative, healthy and nutritious foods, international cuisines and sustainability throughout all dining operations
Job Summary
Manage all culinary operations for one or more catering facilities or programs. Lead the culinary team to provide culinary excellence, training, recipe, and menu development; be the leader of development of new and seasonal menus. Provide daily direction and guidance of culinary staff and culinary operations; and coordinate efforts to deliver services to a diverse clientele. Provide training for the staff, keeping them current with culinary skills and procedures. Participate in sales efforts with customer interaction.
Click here to view full job description.
Why Work at Michigan?
In addition to a career filled with purpose and opportunity, The University of Michigan offers a comprehensive benefits package to help you stay well, protect yourself and your family and plan for a secure future. Benefits include:
Generous time off
A retirement plan that provides two-for-one matching contributions with immediate vesting
Many choices for comprehensive health insurance
Life insurance
Long-term disability coverage
Flexible spending accounts for healthcare and dependent care expenses
Responsibilities*
Establish and accelerate changes to menus, recipes and cooking methods; and lead to improve food quality, attractiveness and efficient preparation.
Oversee menu, food preparation, presentation, portioning and plating design.
Work together with the campus executive chef for catering to improve and standardize recipes, and to develop new recipes.
In collaboration with the campus executive chef, train the culinary staff in cooking and serving methods, presentation and portion control; exhibit a hands-on approach to training and development, working with employees while demonstrating a commitment to their individual growth.
Exercise administrative supervision over chef leads, chefs, chef assistants, cooks, bakers, and other food service staff including student employees engaged in culinary operations.
Be a leader for employees while promoting teamwork, employee morale, and open communication.
Required Qualifications*
Degree in Culinary Arts from an accredited culinary school or apprenticeship program and/or equivalent experience.
Minimum of seven years of progressively responsible experience as a chef in a high volume, high quality operation with a variety of concepts and/or catering and banquet experience.
Experience of culinary techniques, menu planning, recipe and menu development, dining trends, food ordering, budget management, use of general and commercial kitchen equipment, preparation, presentation, and management of kitchen personnel.
Additional Information
This role may have reporting obligations under Title IX and Clery.
Authorization to work in the U.S. is a precondition of employment and applicants for this position will not be sponsored for work visas.
Salary may vary depending on qualifications, experience, and education of the selected candidate.
Selected candidates whose start date is 4/1/23 or after, will not be eligible for the university salary/merit plan in 2023 unless otherwise notified.
Relocation will not be offered for this position.
#studentlife
Application Deadline
Job openings are posted for a minimum of seven calendar days. The review and selection process may begin as early as the eighth day after posting. This opening may be removed from posting boards and filled anytime after the minimum posting period has ended.
U-M EEO/AA Statement
The University of Michigan is an equal opportunity/affirmative action employer.

Job Opening ID
232558
Working Title
Senior Executive Chef
Job Title
Culinary Manager Senior
Work Location
Ann Arbor Campus
Ann Arbor, MI
Full/Part Time
Full-Time
Regular/Temporary
Regular
FLSA Status
Exempt
Organizational Group
Dsa University Union
Department
MI Dining - Catering
Posting Begin/End Date
3/28/2023 - 4/11/2023
Salary
$71,000.00 - $81,000.00
Career Interest
Hospitality",Chef,Service
Executive Chef (FT),Earl Enterprise,"Honolulu, HI",Onsite,"$70,000 - $85,000 ",r - Full-time,"POSITION SUMMARY
The Chef Partner contributes to the success of Buca di Beppo through the direction and control of restaurant operations to ensure a positive guest experience and company profitability.
The Chef Partner’s responsibility is to direct the operation of the restaurant, attain sales, cost controls, and profit objectives, maintain the highest standards of food quality, service, cleanliness, safety and sanitation by assisting in the direction and supervising of managers and family members.
ESSENTIAL FUNCTIONS-Reasonable Accommodations Statement
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.
Reasonable Accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.
Essential Functions Statement(s)
The following list is not inclusive of additional responsibilities that may be requested by the Manager on duty.

ENSURE A HIGH QUALITY OPERATION:
Ensure the production of high quality foods on a consistent basis.
Ensure all kitchen functions are performed according to Buca di Beppo’s guidelines.
Direct kitchen activities and performance of heart of the house members on a shift-by-shift basis.
Ensure positive Guest experience by monitoring and ensuring timely delivery of food product.
Follow standardized recipes, preparation, portioning and presentation procedures.
Maintain organized kitchen, dish, and storage areas.
Maintain and inspect food receiving, preparation, production, and storage areas to ensure that health and safety regulations are adhered to at all times.
Correct unsafe practices or conditions.
Supervise cleaning and maintenance of equipment and arrange for repairs, contracts, and other services.
Maintain kitchen cleanliness and organization for both the interior and exterior of the restaurant.
Follow the Ten Points of Difference and Guest Standards of Execution as described in the Manager Training Orientation Workbook.
Oversee FOH staffing when needed, ensuring that adequate staffing is maintained and that overtime is minimized. Ensures sales forecasting and schedules reflect desired productivity and match daily labor controls.
Manage FOH when needed, responsible for the overall restaurant operation during Paisano Partners absence.
Manages and schedules departments as required in absence of the Partner.
Ensures proper staffing levels for departments and shifts.
Ensures ongoing development of staff. Implements manpower plan for hourly staffing.
Ensures that all meal and rest breaks are provided when required.
Ensures that proper cash handling procedures are followed.
Balances cash on hand with End of Day report, if closing manager.
Prepares cash drawers and performs cash drop at end of AM shift.
Disburses petty cash as required.
Prepares reports at end of shift.
When needed check in liquor, wine and beer ensuring company is billed for proper amount. Write a check for liquor, wine and beer to vendors where required by state law.",Chef,Service
Task Force Chef,Up To Par Management | Taylor Hospitality,"Morgantown, WV 26505",Onsite,"$70,000 ",r - Full-time,"Taylor Hospitality / Up To Par Management is currently seeking a Regional Task Force Chef. Do you love to travel and visit numerous hospitality properties and help multiple culinary teams execute high-quality and volume events? Based in Morgantown, West Virginia, you will travel as needed to support culinary teams, hospitality venues, and clubs. This position will report to the Director of Hospitality.
Job Summary: This role will primarily support culinary operations in a temporary capacity, where leadership and/or culinary gaps exist. The Taskforce Chef will be work with numerous culinary teams assisting activities of the Culinary department at various locations and ensuring high levels of food quality, and company standards
Task-Force Chef Compensation:
Base salary - $70,000 plus benefits package includes medical, dental, and vision benefits, 401K, Vacation, Sick, Short Term Benefits, Hilton Employee Travel Benefits, Choice Hotel Travel Benefits, and LifeMart Benefits.
A tremendous and positive company culture with real growth potential.
Core Responsibilities:
Ensure that all preparation for culinary functions and outlets is completed.
Work with the Director of Hospitality to lead and assist culinary operations at multiple locations.
Supervisory roles will change with assignments.
Oversee breakfast/lunch/dinner operations.
Ensure food quality control at your property location.
Maintains focus on cleanliness to ensure adherence to all applicable health codes, laws, and brand standards. Maintain and organize coolers and storage areas.
Monitor and produce schedules for culinary staff to ensure proper staffing levels within budgeted guidelines when needed.
Participate in and submit accurate food inventories when needed.
Assist in the production of food products and receiving to ensure proper execution of culinary offerings and adequate par levels.
Be familiar with and adhere to company product and food specifications.
Be a proactive leader who is constantly looking for new and more effective ways of improving products, services, and profitability.
Provide enriching experiences for associates by coaching and teaching them on a regular basis.
Knowledge & Skills:
To perform this role successfully, an individual must be able to establish relationships with the existing team quickly and have experience achieving desired result(s) in their areas of responsibility. The requirements listed below are representative of observable behaviors and essential knowledge, skill, and abilities required of a successful incumbent.
Execution of plans - Utilizes our systems, tools, and resources to accomplish results and achieve goals
Advanced level of written, verbal, and interpersonal communication skills.
Ability to implement and uphold service standards.
Effectively motivates grand performers and maintains a cohesive team.
Ability to prioritize and organize work assignments, and work well in stressful, high-pressure situations
Ability to work with and understand financial information, data and basic arithmetic functions.
Ability to maintain and build relationships with existing clients.
Task-Force Chef Qualifications:
Minimum of 3 years of leadership in a Multi-Unit culinary role in high volume Full-Service Hotels, Clubs or Upscale dining venues, elevated food service in contract services.
Hands-on style of leadership with a high-energy personality, Strong written and communication skills Endowed with the hospitality gene and focused on the quality of the guest experience.
A forward thinker that can work independently and resolve issues.
Strong acumen for delivering exceptional results without compromising standards
Ability to embrace and teach our organization's long-enduring culture.
A strong culinary experience in upscale restaurants, hotels, and clubs, a Strong passion for food, and knowledge of current trends
A professional that can be creative and also can sustain and improve existing Culinary operations
Culinary degree preferred",Chef,Service
R&D Chef,Newport Creamery,"Cranston, RI 02920",Onsite,Full-time,Full-time,"Newport Creamery is seeking to hire a Research & Development Chef to support our ten locations! For the past 68 years, Newport Creamery has been a popular destination for casual dining with family and friends. We are proud to offer you the opportunity to be part of someone else’s new memories.
The Research and Development (R&D) Chef creates new recipes to improve food product from the organization. They will design new recipes in consideration of ideas and market demand for new products. They will improve their recipes and preparation methods to meet mass production and regulatory needs. They will help design marketing strategies based on their approach and ideas in creating new products.
The ideal candidate should be skilled in culinary arts and is experienced in the Food and Beverage (F&B) sector. They must be able to work in the kitchen and have the ability to train cooks and chefs. They should have a good knowledge on food science and is familiar with nutrition and mass production needs. They should have a sound understanding of cultural and culinary trend and be very creative in developing and presenting products.
Please include your salary requirements in your resume. Only qualified candidates will be considered.
Roles and responsibilities cont.
Assist in data gathering for new product specifications.
Confirm product formulations and other information for constructing product profiles.
Create new recipes and refine taste profiles through experimentation.
Develop ideas from food preparation processes for marketing purposes.
Develop product improvements based on sensory testing and consumer data.
Establish product specifications and documentations.
Make recommendations in the design of new manufacturing processes or to change current equipment or processes.
Modify new product recipes and ingredient selection while taking note of nutrition, shelf life and regulations.
Plan, manage and run panel sessions and sensory tests on food products.
Refine recipe formulation for mass production purposes.
Review ingredients to meet customer needs and requirements.
Review methods to improve quality of new food products and compliance with food regulations during mass production.
Suggest alternative ingredients and food preparation processes to meet mass production and compliance needs.
Suggest changes to new food production processes.
Support sales team by preparing samples for local and overseas customers.
Troubleshoot production processes to resolve production, quality and regulatory compliance issues.
Training of staff.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Paid time off
Experience level:
5 years
Shift:
Day shift
Evening shift
Weekly day range:
Monday to Friday
Weekend availability
Work setting:
Casual dining restaurant
Ability to commute/relocate:
Cranston, RI 02920: Reliably commute or planning to relocate before starting work (Required)
Experience:
Culinary experience: 5 years (Preferred)
Cooking: 5 years (Preferred)
Work Location: In person

Health insurance",Chef,Service
Executive Chef,Cura,"Kirkwood, MO 63122",Onsite,N,Full-time,"Job Title: Executive Chef
Requisition ID: 5952
Segment: Healthcare
Brand: Cura-Hospitality
Work Arrangement: Onsite
State: Missouri (US-MO)
Who we are:
The people at Cura Hospitality are committed to doing good. This means that alongside serving healthy, delicious food, we take our responsibility seriously to make a positive impact on our communities and our environment.
Cura is part of the Elior North America family with more than 50 years of industry experience and 15,000 team members, the Elior family of companies is united in our passion for food.
Our most important ingredient in YOU! We provide our employees with an opportunity to grow their career in an environment that fosters a commitment to service while making a difference.
The Role at a glance:
We are looking to add an experienced, motivated executive chef for our Cura Hospitality team in Kirkwood. As an executive chef, you will have the opportunity to prepare delicious, healthy food for patients and their guests.
What you'll be doing:
Supervising the quality standards and practices of the food production process, including purchasing, food specifications, meal preparation, service, and sanitation.
Developing standardized recipes and utilizing other production tools to ensure food quality and cost objectives are met.
Participating in the planning and execution of special events.
What we're looking for:
Must-haves:
At least three years of progressive culinary experience.
Proficiency in Microsoft software programs.
Experience with budget statements.

Nice-to-haves:
Associate’s degree in culinary arts.
Where you'll be working:
Aberdeen Heights
Benefits
Medical
Dental
Vision
Voluntary UNUM offering for Accident, Critical Illness and Hospital Indemnity
Discount Program
Tuition Reimbursement
EAP
401k
Sick
Holiday Pay (9 paid holidays)
#LI-KM1
About Cura:
Cura serves hospitals, senior living centers, and other long-term care facilities. We guarantee compassionate service and healthy, delicious meals to ensure that quality of life never diminishes.
About Elior North America:
Elior North America is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. We are committed to diversity and encourage applications from people of all backgrounds and abilities. We take pride in supporting the development of our employees and their skills at all levels and in fostering an environment of growth.
At Elior North America, we are committed to offering growth and advancement opportunities for all of our employees. The valuable skills and experience you’ve gained with Elior will propel you further in your career, whether with our corporate office or one of our brand segments.
Disclaimer: This job description can be revised by management as needed.",Chef,Service
Executive Chef,PRIME Hospitality VI,"St Thomas, VI 00802",Onsite,"From $80,000 ",r - Full-time,"About us
PRIME Hospitality VI is a small business in St Thomas, VI. We are creative, supportive, collaborative and our goal is to Provide high-end, creative cuisine in two brand new, upscale, oceanfront restaurant operations..
Seeking professsional Executive Chef with extensive experience preparing and serving high-end cuisine for a privately owned 175 seat fine dining restaurant and 130 seat beach bar (with seperate quick service kitchen.) Both are ocean-front operations, at a premium hotel property. Michelin star would be a plus as we will be pursuing one of our own. The cuisine is creative fresh seafood with Mexican and Spanish Caribbean influences. The ideal candidate should be trained in classic French techniques, and able to develop innovative menus in collaboration with experienced ownership, while meeting all budgetary requirements, food cost / waste thresholds, and food safety regulations. They will take great pride in dish creation, presentation, and performing as a strong leader to the operation, while training and growing BOH team members for success. They will have experience and understanding in ordering, keeping, and tracking inventory, utilizing our integrated POS system. Must speak and write in fluent English. Ability to speak and write in Spanish is a plus. Completely new buildout on existing 14 year successful operation previously destroyed by hurricanes in 2017.
Job Type: Full-time
Pay: From $80,000.00 per year
Benefits:
Flexible schedule
Health insurance
Paid time off
Experience level:
5 years
Pay rate:
Yearly pay
Shift:
10 hour shift
Supplemental pay types:
Bonus pay
Weekly day range:
Monday to Friday
Weekend availability
Work setting:
Fine dining restaurant
Ability to commute/relocate:
St Thomas, VI 00802: Reliably commute or planning to relocate before starting work (Required)
Experience:
Executive Chef: 1 year (Preferred)
Work Location: One location

Health insurance",Chef,Service
Restaurant Executive Chef - High Velocity,White Lodging,"Indianapolis, IN 46204",Onsite,N,r - Full-time,"Summary:

The Name and Face of all Culinary functions of the hotel responsible for creating, excitement, inspiration and direction for all F&B FOH and BOH associates and best in industry experiences in all outlet and group occasions utilized by all guests on every opportunity.

Responsibilities

The Chef is directly responsible for all aspects of daily food preparation in all areas of the hotel where food is served including any associate or vendor feeding not limited to the ordering, preparing, marketing, and executing of all recipes, all costs associated with the profitability of the Food and Beverage Department, all Food safety and Sanitation regulations. They direct kitchen staff and all food related concerns or topics. The following is a sample list:
Develop and represent all Food, Beverage, and Service of the Department creating the culture with continuous learning and training with emphasis on high quality, fresh ingredients utilizing seasonal techniques and preparations appropriate for each outlet or event, balancing Quality and Profit.
Interview, hire, train and manage all culinary staff
Have knowledge of all current local health department, Corporate HACCP and Food Safety SOP’s, & Federal Guidelines
Organize, Oversee and Manage all Food prep operations in Daily Operations
Create all menus, recipes, use records, menu implementation execution list and timelines
Develop each kitchen brigade and stations assignments following the WLW SOP’s and directives
Support Sales Dept, E.M., and outlet FOH in the Food and Beverage marketing and sales programs
Execute all accounting procedures required not limited to and including F&B check book, Food checkbook, invoice processing, payroll, monthly inventories and P&L critiques
Mentor all associates for career development and advancement


Other Information

COMPETENCIES

Analytical Skills
Strategic Skills
Pragmatism
Leading Edge
Adaptability
Selecting A Players

SKILLS

Basic Computer Skills featuring Excel, WORD, Outlook, TM1,Etc
All Cooking and preparation equipment
All stewarding cleaning and maintenance equipment
Basic Human Resources Skills and Knowledges
Basic Sales Skills, and Technique Knowledges

EDUCATION/EXPERIENCE

Associates of Culinary Arts or Business Administrative

WORKING CONDITIONS

60% Cerebral and 40% Physical

Location Code: 2554",Chef,Service
Executive Chef,"Masonic Village at Burlington, NJ","Burlington, NJ 08016",Onsite,"$90,000 ",r - Full-time,"Executive Chef
Full Time - Days/Evenings
Masonic Village Burlington has been voted The BEST in Burlington County 2022 for:
* Best Nurse * Best Nursing Home * Best Assisted Living/Senior Living * Best Retirement Community * Best Memory Care * Top 3 for Rehab, Hospice, and Employee Recognition Program!
What will I do as a Executive Chef?
Supervises kitchen personnel on all shifts, staffing, scheduling, counseling, orientation, and evaluation of kitchen staff. Selects, trains, evaluates and recommends/carries out discipline to all kitchen team members.
Develops menus and assures implementation of these menus. Maintains a high-quality food service program for the resident and Bistros dining rooms.
Ensures that the Dining department meets all standards in accordance with State and Federal Health Survey processes. Ensures Dining team members are trained in and carry out efforts in this process.
Assures staff education is provided to kitchen team members in accordance with the staff education program. Provides on-the-job training for food preparation and kitchen team members.
Ensures all policies and procedures are followed in accordance with safe work practices, including but not limited to SDS information, infection control, universal precautions, and the Disaster Plan Manual.
Develops work assignments for all kitchen team members, assigning special jobs and spot-checking work to ensure standards are met.
Promotes teamwork within the department and between departments to ensure smooth operations and quality service to residents, co-workers, and guests.
Supervises production, sanitation, and food service to Independent residents and Health Center and Assisted Living residents. Ensures that all food production, storage, and service areas are maintained in accordance with all local, federal, and state regulations.
Maintains essential records, including menus served, number of meals served, requisitions for raw food products, plus other appropriate reports, schedules, studies, etc.
Responsible for vendor selection, maintaining vendor relationships, inventory controls, and maintaining minimum/maximum par levels.
Monitors the temperature of meals.
Assists in the development and implementation of standardized recipes and menu specifications.
What do I need for the Executive Chef role?
A minimum of five years of experience as an executive chef or sous chef in a hotel, restaurant, club, or other similar institution.
Excellent interpersonal and communication skills, solid mathematical background, and an understanding of measurements and conversions.
Post-Secondary Courses in Restaurant Management Nutrition, or related fields. A degree or Certificate from a culinary institute is preferred.
Must be comfortable working with COVID-positive patients.
Must be fully COVID and flu vaccinated per CDC guidelines and Masonic Village policy.
Must be ServSafe? certified.
What makes Masonic Village at Burlington an employer of choice?
Our Employee Benefits Program ranked The Best of Burlington County
Recognizing our success depends on committed and engaged staff members, we offer a wide variety of benefits, including:
Medical, Dental and Vision
Tuition Assistance
403(b) with generous employer match
Robust Wellness Program offering monetary incentives
Employee access to the on-site Wellness Center and gym
Discounts for Team Members at a variety of retailers/services including 30% discount at our Cafe 902.
New Jersey Paid Sick Leave
A caring community: Residents and staff become like family
The full continuum of care provides professional advancement opportunities within for current employees
A caring community: Residents and staff become like family
The full continuum of care provides professional advancement opportunities within for current employees
VISION STATEMENT
Masonic Charity Foundation will continue to be an adaptable innovative, and sustainable organization that enhances its ability to live and grow its mission.
Core Values
COMPASSION: We demonstrate care, trust, and respect in all that we do.
EXCELLENCE: We commit to high-quality services that exceed stakeholder expectations.
STEWARDSHIP: We are responsible and thoughtful with the resources bestowed upon us.
COMMUNITY: We foster and support community with one another and the sharing of common values, interests, and goals.
Masonic Village at Burlington is an Equal Opportunity Employer that recruits and hires qualified candidates without regard to race, religion, sex, sexual orientation, gender identity, age, national origin, ancestry, citizenship, disability, or veteran status.",Chef,Service
