Title,Company,Location,Type,Salary,Contract_type,Job_Description,JobType,Industry
Finance Analyst - Explorer Graduate Program - 2023,Barclays,"Whippany, NJ",Onsite,N,r,"The core of our business
Barclays’ financial health is of the utmost importance - not only to our clients, shareholders and employees – but to a wide array of stakeholders, too. Our Finance function is essential to our success and includes our Business Performance & Analytics, Product Control, Financial Control, Cost Management, Planning and Stress Testing, Treasury and Tax teams. Want to learn how financial concepts are applied in a global financial institution like Barclays? Join us as an analyst.

Real responsibility, right away
It will start with a weeks of intensive training, after which, you’ll join one of our Finance Teams for your first rotation. Over the course of the next two year’s you will have 3 rotations across Finance to give you breath of knowledge and experience to leverage from as you progress your career at Barclays.
Examples of tasks you will perform include:
perform daily profit and loss analysis for business units, identifying and researching performance impacts
compile regular reports and scorecards for senior managers
analyse data for trends and insights
write and deliver presentations based on your analyses to senior managers
lead calls and meetings with fiscal stakeholders

A place where you can thrive
At Barclays, you’ll be surrounded by people who will help you achieve your ambitions. Our collaborative, supportive environment gives you the chance to build solid relationships with senior leaders, peers and clients alike. What’s more, dedicated program managers will support and advocate for you throughout the first two years of your career at Barclays.
During the analyst program, you’ll also:
participate in formal and informal training designed to give you the knowledge you need when you need it
receive detailed performance coaching and feedback
have opportunities to expand your network and develop leadership skills.

As your official program comes to a close, you’ll have a number of career options open to you, including placement into an exciting role right here at Barclays.

To be considered for this program, you must:

successfully complete an undergraduate degree between December 2022 - June 2023.

Ideally, you would also have:

a minimum GPA of 3.2
unrestricted U.S. work authorization
basic knowledge of the role of finance and financial markets
a major in finance or accounting (preferred)
resourcefulness, leadership, team-orientation, enthusiasm and an entrepreneurial spirit, demonstrated through participation in extracurricular activities.

We are currently in the early stages of implementing a hybrid working environment, which means that many colleagues spend part of their working hours at home and part in the office, depending on the nature of the role they are in. We’re flexible on how this works and it may continue to change and evolve. Depending on your team, typically this means that colleagues spend a minimum of between 20% to 60% of their time in the office, which could be over a week, a month or a quarter. However, some colleagues may choose to spend more time in the office over a typical period than their role type requires. We also have a flexible working process where, subject to business needs, all colleagues globally are able to request work patterns to reflect their personal circumstances. Please discuss the detail of the working pattern options for the role with the hiring manager.

It is the policy of Barclays to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, creed, religion, national origin, alienage or citizenship status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, protected veteran status, genetic information, or any other basis protected by law.",financial analyst,Finance
SAINT LAURENT Senior Financial Analyst,Groupe Kering,"Wayne, NJ",Onsite,Full-time,Full-time,"Summary
ABOUT US

Founded in 1961, Yves Saint Laurent was the first couture house to introduce the concept of luxury prêt-à-porter in a 1966 collection called ‘Rive Gauche’, synonymous with youth and freedom. This shift represented a first critical step in the modernization of fashion and revolutionized the socio- cultural landscape. In 1999, the luxury goods division of the Kering Group acquired Yves Saint Laurent and, under the creative direction of Anthony Vaccarello since April 2016, continues to position the house at the summit of the luxury universe. Today, Saint Laurent collections include women’s and men’s ready-to-wear, shoes, handbags, small leather goods, jewelry, scarves, ties and eyewear.
Job Description
We are currently seeking a Sr. Financial Analyst who will report to the Finance Manager as part of our dynamic team in our New Jersey offices.
YOUR OPPORTUNITY
This key member of the Finance Department will support in the collection, interpreting and analysis of financial information while predicting future financial trends and helping develop long-term business plans. The Senior Financial Analyst will be a partner to the Finance Manager in providing quantitative and qualitative analysis while reviewing and monitoring the efficient use of the organization budgets.
HOW YOU WILL CONTRIBUTE

Support Saint Laurent Americas including but not limited to: USA, Canada, Mexico, Brazil, Panama, Dominican Republic
Actively involved in Forecasting and Budgeting process including 3YP
Sales, Margin, Opex, Cash Flow, Retail Capex
Subsequent presentations to worldwide executive team
Support and collaborate with the Accounting team during the monthly and year-end closing including Margin
Analyze financial results and processes to identify opportunities for improvement
Assist in the preparation, and review of monthly Financial Reporting (Regional and HQ):
Monthly P&L along with quantitative and qualitative analysis
Monthly Retail Capex
Analyzing and compiling information for sales, KPIS, etc.
Ad hoc reporting
Knowledge of preparation and reporting of (as a backup resource):
Daily, Weekly, Monthly and YTD sales across all channels
Monthly Management expense reports
Support Finance manager during monthly meetings with department heads to go over financial results
Collaborates in the preparation of Monthly Business Review Presentation for WW Executive team
Support management on special projects
Responsible to reconcile Retail Capex and partner with Store planning on all retail projects
Responsible for stores monthly commercial goal proposal
Assist with preparation of Interim and Y/E Audit
Responsible for government reporting
WHO YOU ARE
Bachelors in Finance, Economics, or Accounting; MBA a plus
4+ years in similar role; Retail experience a plus
Advanced technical skills (Excel, Access, PowerPoint, Pivot Tables, Macros, SUMIFS, Indirect Formulas)
Core competencies and traits:
Strong decision making and problem-solving skills
Possess a high level of accuracy and attention to detail
Ability to research, analyze and evaluate complex data and prepare concise written reports and presentations
Ability to multi-task while maintaining critical deadlines
Ability to establish and maintain good working relationships with colleagues and counterparts overseas
Highest regard for confidentiality. Must be able to maintain confidentiality with sensitive company information
Aggressively anticipate impacts of workload/issues to team deadlines and have a very positive work attitude including willing to work some longer hours during peak periods
System savvy and self-motivated to learn new technology and participate in new projects; SAP, RDM, HFM, PBCS experience a plus
Basic Understanding of accounting principles and procedures
Position is based in New Jersey, willingness to travel to NY Office as needed
WHY WORK WITH US?
S a i n t Lauren t i s c o mm i tt e d t o bu i l d i n g a d i v er s e w ork f or c e . W e be li e v e d i v er s i t y in a l l i t s f or m s – gender , age , na t i ona li t y , c u l t ure , re li g i ou s be li e f s and s e x ua l or i en t a t i o n – enr i c h e s t h e w or k p l a c e . I t open s u p oppor t un i ti e s f o r peop le t o e x pres s t he ir t a l en t , b o t h i nd i v i dua l l y an d c o ll e ct i v e l y an d i t he l p s f os t e r ou r ab il i t y t o adap t t o a c hang i n g w or l d . A s a n E qua l O ppor t u n i t y E m p l o y e r, w e w e l c o m e an d c ons i de r app li c at i on s f ro m a ll qua li f i e d cand i da t e s , regard l e s s o f t he ir bac k ground.
Job Type
Regular
Start Date
2023-03-09
Schedule
Full time
Organization
YSL America Holding Inc.",financial analyst,Finance
Financial Analyst,Clario,Remote,Onsite,Full-time,Full-time,"Financial analyst needed to prepare actual to budget variance analysis on revenue and expense
Financial analyst needed to prepare actual to budget variance analysis on revenue and expense
Courageously Curious

Our appetite to blend the best of domain expertise, technology and human understanding knows no bounds. We’re relentless in pursuing the information, insights and inspiration that means we can continuously improve clinical trial site support services and technology solutions.

Behaviors:

We learn; embracing change, questioning how we work, finding a better way. And if it doesn't go to plan, we don't blame each other; instead, we own it and grow together
We partner' with each other, with customers, patients and sites, working with them to understand their goals and then deliver the best solutions, Deliver Exceptional

We step forward because responsibility powers us; we don’t leave others to do what we can do ourselves. We take charge of events, delivering exceptional work for our customers, patients and each other.

Behaviors:

We prioritize; focusing on what matters, never compromising on quality.
We commit; delivering what we say we will, working with energy and intent, sharing what we learn with each other., People first, always

We think of others before we think of ourselves. We have a deep understanding of our customers, and deep empathy for patients—and each other. We’re united by our purpose—it’s why we go above and beyond to support each other, emphatically.

Behaviors:

We do the right thing; for our customers, patients, sites and each other. And We're passionate about it.
We lift each other up; respectful of different views, we listen are inclusive, and support each other to succeed.",financial analyst,Finance
Financial Analyst,Spectrum,"New York, NY 10019",Hybrid remote,Full-time,Full-time,"Spectrum Reach (www.spectrumreach.com) helps local businesses grow through the best content, insights, products, and people that connect advertisers to their intended audiences across TV, apps, social, and other media platforms. Spectrum Reach operates in multiple states and local markets that can reach over 27 million households by creating scalable advertising and marketing services driven by data insights and award-winning creative services.

This position offers a hybrid work arrangement based out of our NYC offices.

The Financial Analyst is responsible for conducting quantitative analyses of information affecting budgets, operating expenses, and/or other financial projects. Focuses on short and long-term financial planning and/or financial analysis of business operations for the purpose of measuring and forecasting future business performance. Develops strong understanding of business process and data flows to perform ad-hoc financial impact analysis. This position has the ability to make positive financial contributions to the company by discovering cost saving opportunities and ensure a standard high level of reporting integrity.

MAJOR DUTIES & RESPONSIBILITIES
Build a strong understanding of business processes and data relationships necessary to understand a business need, analyze related data, and deliver reporting that provides key insights used in decision making.

Assist with the annual budget and quarterly reforecast process, model preparation and submission, and completion of presentation packages. Assist the Director/ Manager with personnel and contractor costs tracking

Facilitate delivery of data or reporting supporting operating expense variance analysis and reporting.

Build and deploy financial models and utilize analysis to identify cost savings opportunities.

Analyze, educate, and recommend changes to accounting operations policies and procedures to support a strong control environment.

Track, document, and work to resolve outstanding project tasks and issues.

Prepare and review reports & other analysis as required for achieving financial objectives.

Perform analysis of data trends on operational budget spend

Prepare monthly accruals, journal entries and other analyses as part of the monthly accounting close.

Perform monthly review of financial statements and identify trends.

Assist functional areas and vendors in determining status of vendor payments

Perform other duties as requested.

REQUIRED QUALIFICATIONS
Ability to prioritize and organize effectively
Ability to work independently, as well as in a collaborative and dynamic team environment
Ability to handle and manage multiple projects and priorities
Ability to analyze and interpret data
Ability to quickly identify business problems/opportunities
Ability to communicate orally and in writing in a clear and straightforward manner
Ability to communicate with all levels of management and company personnel
Knowledge of Accounting theory and procedures
Knowledge of Operating and Capital Financial Statements
Knowledge of United States Generally Accepted Accounting Principles
Effective computer skills, including advanced knowledge of Excel, PowerPoint Word

Required Education
Bachelor’s degree in business or related field

Required Related Work Experience
1 – 2+ years of Financial Analysis or related experience

Preferred Skills/Abilities and Knowledge
Knowledge of Essbase/Hyperion
Knowledge of SAP general ledger software
Intermediate -Advanced Proficiency in Excel
FAN316 334468 334468BR

Here, employees don’t just have jobs, they build careers. That’s why we believe in offering a comprehensive pay and benefits package that rewards employees for their contributions to our success, supports all aspects of their well-being, and delivers real value at every stage of life.

The pay for this position has a salary range of $73,200.00 to $140,600.00. The actual salary offer will carefully consider a wide range of factors, including your skills, qualifications, experience and location. Also, certain positions are eligible for additional forms of compensation such as bonuses.",financial analyst,Finance
Logistics Financial Analyst - (B2),Applied Materials,"Austin, TX 78724",Onsite,"$68,000 - $93,500 ",r - Full-time,"Applied Materials is the leader in materials engineering solutions to produce virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale enables customers to transform possibilities into reality. Our innovations make possible™ the technology shaping the future. To achieve this, we employ some of the best, brightest, and most talented people in the world who work together as part of a winning team.

While virtually every nationality, culture, and background are currently represented within Applied Materials, we strive for a more robust Culture of Inclusion (COI) and diversity. Leveraging our COI vision helps drive innovation, build organizational capabilities, create equal opportunities for everyone, and achieve our company’s definition of Winning.
We are actively recruiting for a financial analyst to support logistics activities in our Worldwide Operations organization. You will be responsible for spending and budgeting-related activities. These activities include but are not limited to forecasting, reporting, journal entries posting, capital budget management and execution, quarter-end close, and accounts reconciliation. The right candidate will know how to effectively collaborate and interact with various business partners.
Responsibilities
Drive ongoing spending reviews with finance and operations partners, to deliver business commitments toward goals
Review, monitor, and forecast labor resource requirements based on business conditions
Understand and collaborate in inventory control process creation and monitoring key inventory control metrics
Support consolidation and reporting related to financial close, quarterly business reviews, AOP, and forecast cycles
Perform required activities and analysis to complete forecast and close cycles with oversight on recurring tasks
Support management in completing ad hoc reports and providing basic explanations on standard analysis
Prepare Balance Sheet account reconciliations and journal certifications
Help the group to streamline reporting and centralize information and analytics
Support the development of top-level models for use in sizing operations or business activity in support of strategic discussions
Support local/regional reporting requirements for internal/external use
Qualifications
2-4 years of corporate finance experience preferred
Bachelor’s degree in business/accounting/finance or related field
Company Facts:
Ticker: Nasdaq: AMAT
Fiscal 2022 Revenue: $25.79 billion
Fiscal 2022 R&D: $2.8 billion
Founded: November 10, 1967
Headquarters: Santa Clara, California
Global Presence: 170 locations in 24 countries
Manufacturing: China, Israel, Singapore, Taiwan, United States
Employees: ~33,000 worldwide
Patents: ~17,300 issued
#LI
Qualifications
Education:
Bachelor's Degree
Skills
Certifications:
Languages:
Years of Experience:
2 - 4 Years
Work Experience:
Additional Information
Travel:
Yes, 10% of the Time
Relocation Eligible:
No
U.S. Salary Range:
$68,000.00 - $93,500.00
The salary offered to a selected candidate will be based on a number of factors including location and level and will vary depending on confirmed job-related knowledge, skills, and experience. In addition to a comprehensive benefits package, candidates may be eligible for other forms of compensation such as participation in a bonus and a stock award program, as applicable.
Applied Materials is an Equal Opportunity Employer committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, national origin, citizenship, ancestry, religion, creed, sex, sexual orientation, gender identity, age, disability, veteran or military status, or any other basis prohibited by law.",financial analyst,Finance
"Analyst, Financial Planning and Analysis",RXO,"Charlotte, NC 28277",Onsite,N,r - Full-time,"Solutions driven success.

RXO brings together massive capacity, cutting-edge technology and industry-leading expertise to keep shippers and carriers ahead of the marketplace. At RXO, we’re looking for innovative and collaborative employees who are committed to solving our customers’ challenges. We know we can do big things when we work together – so join us on our mission to disrupt the industry.

As the Analyst, Financial Planning and Analysis, you’ll be responsible for supporting the business unit by preparing financial reports, analyses and forecasts, while working with key stakeholders to achieve operational objectives. We want to leverage your skills and years of experience to drive positive results while ensuring a bright future for yourself and RXO. In this role, you’ll have the ability to positively affect RXO’s future through advice and counsel, creating long-term success for the company and for yourself.

Pay, benefits and more.
We are eager to attract the best, so we offer competitive compensation and a generous benefits package, including full health insurance (medical, dental and vision), 401(k), life insurance, disability and the opportunity to participate in a company incentive plan.

What you’ll do on a typical day:
Generate, maintain and ensure the accuracy of financial and operational scorecards for various lines of business as part of the daily/weekly/monthly financial review process; determine key drivers of over/under performance
Act as the functional owner of the Business Intelligence (BI) environment that will provide key decision makers with visibility into the financial performance of their business and other operational KPIs
Coordinate with IT and functional business owners to develop a database capable of producing required data and KPIs
Facilitate volume, revenue, operating expense and EBITDA forecasting and budgeting, ensuring it reflects current trends and known discrete items
Provide broader financial/analytical support for functional initiatives, including participation on working teams, ownership of deliverables and tracking of results; initiatives could relate to volume/market share, pricing, field or functional productivity, equipment/network efficiency and external benchmarking
Deliver ad hoc reporting and complex modeling analyses to support multiple stakeholders in a cross-functional matrix environment, balancing their needs and perspectives to maximize the company’s interests
What you need to succeed at RXO:
At a minimum, you’ll need:
Bachelor’s degree in Finance or Accounting
1 year of related experience
Proficiency in Microsoft Office; ability to create complex formulas in Excel
It’d be great if you also have:
3 years of related experience, including budgeting and forecasting
Ability to quickly learn and achieve proficiency in new software applications
Excellent verbal and written communication skills; able to present clean, organized and thorough information and data appropriate for intended audience
Solid ability to develop insightful, value-added and actionable analyses with detailed explanations regarding drivers of those results; able to produce unambiguous, comprehensive and accurate interpretations
Ability to utilize a variety of interpersonal styles and communication methods to effectively adapt to new work structures, processes or cultures
Self-motivated work style; able to work well with minimal supervision or in a team environment; consult with team members and management as needed

We are proud to be an Equal Opportunity/Affirmative Action employer. Qualified applicants will receive consideration for employment without regard to race, sex, disability, veteran or other protected status.

All applicants who receive a conditional offer of employment may be required to take and pass a pre-employment drug test.

The above statements are not an exhaustive list of all required responsibilities, duties and skills for this job classification.

Review RXO's candidate privacy statement here.",financial analyst,Finance
Finance Analyst I * Work from home,American Red Cross,"Washington, DC",Remote,Full-time,Full-time,"Please use Google Chrome or Mozilla Firefox when accessing Candidate Home.
By joining the American Red Cross you will touch millions of lives every year and experience the greatness of the human spirit at its best. Are you ready to be part of the world's largest humanitarian network?
**** As a condition of employment with American Red Cross, you are required to provide proof that you are fully vaccinated for COVID 19 or qualify for an exemption, except in states where it is prohibited by law. Accordingly, employment is conditioned on providing proof of vaccination or having an approved exemption prior to starting employment ****
Join us—Where your Career is a Force for Good!
Job Description:
WHY CHOOSE US?
As one of the nation’s premier humanitarian organizations, the American Red Cross is dedicated to helping people in need throughout the United States and, in association with other Red Cross networks, throughout the world. When you join our team, you have a direct impact on a meaningful mission, and you can help save lives every day. If you share our passion for helping people, join us in this excellent career opportunity. Work where your career is a force for good.
We are committed to the diversity of our workforce and to delivering our programs and services in a culturally competent manner reflecting the communities we serve. Our work environment is collaborative, respectful, and inclusive with a focus on building allyship and a culture of belonging that empowers all team members. Come to learn, grow, and succeed while sharing your passion for making a difference.
The Red Cross supports a variety of cultural and community resource groups for employees and volunteers. From the Ability Network, our Asian American & Pacific Islander Resource Group, the Latino Resource Group, and Red Cross PRIDE, to the Umoja African American Resource Group, our Veterans+ Resource Group, and the Women’s Resource Group, these networks provide connections, mentoring and help give voice to important concerns and opinions.
At the American Red Cross, your uniqueness can shine!
WHAT YOU NEED TO KNOW (Job Overview):
Under close supervision, assist with the collection and analysis of data from organizational units. Support the preparation of financial plans and/or financial analysis. May provide business leaders with financial forecasts to support short and long - term decision making. Provide support, development and/or leadership guidance to all volunteers.
Perform all duties and responsibilities in compliance with standard operating procedures and other applicable Federal, State, and local regulations.
This is a term limited two-year program.
WHERE YOUR CAREER IS A FORCE GOOD (Key Responsibilities):
1. Assist in conducting and documenting simple to moderate financial analysis projects.
2. May help develop, interpret, and implement financial concepts for financial planning and control.
3. May provide monthly revenue and/or expense analyses and reports.
4. May monitor operating budget process and allocations. May provide analysis to determine present and future performance.
5. Assist in the development and maintenance of financial policies, procedures, and systems.
Scope
Individual contributor that works under close supervision. Use technical knowledge to solve routine types of problems.
WHAT WILL GIVE YOU THE COMPETITIVE EDGE (Preferred Qualifications):
Education: Bachelor's degree in Accounting, Finance, Business Administration, or related field required.
Experience: Minimum 1 years of related experience or equivalent combination of education and related experience required.
Management Experience: N/A
Skills & Abilities: Knowledge of applicable principles, concepts, practices, and standards. Good interpersonal, verbal, and written communication skills. Basic proficiency in use of Personal Computer, word-processing, spreadsheet applications, and database applications when applicable. Ability to work on a team.
Travel: May travel and participate in meetings and conferences throughout the Red Cross system.
Combination of candidate’s education and general experience satisfies requirements so long as the total years equate to description’s minimum education and general experience years combined (Management experience cannot be substituted).
BENEFITS FOR YOU:
We take care of you, while you take care of others. As a mission-based organization, we believe our team needs great support to do great work. Our comprehensive benefits help you in balancing home and work. With our resources and perks, you have amazing possibilities at the American Red Cross to advance the learn.
Medical, Dental Vision plans
Health Spending Accounts & Flexible Spending Accounts
PTO + Holidays
401K with 4% match
Paid Family Leave
Employee Assistance
Disability and Insurance: Short + Long Term
Service Awards and recognition
The salary range for this position is: $50,000 - $55,000
Note that the American Red Cross sets salary ranges aligned to a specific geographic location in which the job or employee resides. The stated salary range in this posting is an average and may not be reflective of your individual circumstances. We will review specific salary information at the time of phone screening based upon your location.
The American Red Cross is a diverse nonprofit organization that creates a culture of collaboration and team spirit. We offer our employee’s a competitive salary, wide range of generous benefits including health, dental, vision, life and disability insurance; flexible spending accounts; 401K retirement plan with match; paid time off, holidays and floating holidays. Also, we encourage professional development and provide growth opportunities. To be considered for this position, please visit
www.redcross.org/jobs
to apply.
LI-JG1
Apply now! Joining our team will provide you with the opportunity to make a difference every day.
The American Red Cross is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.
Interested in Volunteering?
Life’s emergencies don’t stop, and neither do American Red Cross volunteers, who represent more than 90 percent of our workforce to help prevent and alleviate human suffering. You can make a difference by volunteering in a position that appeals to you and allows you to use your unique skills and talents. The Red Cross relies on generous volunteers who give their time and talent to help fulfill our lifesaving mission.
Visit
redcross.org/volunteertoday
to learn more, including our most-needed volunteer positions.
To view the EEOC Summary of Rights, click here:
Summary of Rights",financial analyst,Finance
Financial Analyst,Northside Hospital,"Sandy Springs, GA 30328",Onsite,N,Full-time,"Northside Hospital is award-winning, state-of-the-art, and continually growing. Constantly expanding the quality and reach of our care to our patients and communities creates even more opportunity for the best healthcare professionals in Atlanta and beyond. Discover all the possibilities of a career at Northside today.
OCCUPATIONAL SUMMARY
Northside is seeking a motivated and inquisitive Financial Analyst to join our team in the healthcare industry. The ideal candidate will be able to work with large data sets, perform data mining, and possess excellent skills in Excel and SQL. As a critical thinker, you will be able to apply your knowledge and expertise to drive financial performance and support decision-making. Understanding of healthcare operations and/or healthcare industry is preferred.
PRIMARY DUTIES AND RESPONSIBILITIES
Use Excel and SQL to extract, manipulate, and analyze large data sets
Conduct data mining to identify opportunities for cost savings, revenue optimization, and process improvement
Analyze financial data to identify trends, patterns, and insights that can inform business decisions
Develop financial models, forward projections to support strategic planning processes
Collaborate with cross-functional teams within various operational and financial areas of the Healthcare System to develop and implement financial strategies
Interface with service line teams to provide financial analysis and support decision-making
Build reports in various software platforms, such as Axiom, to support decision-making.
Projects may include preparing and analyzing reports, analyzing program specific objectives and developing ad-hoc reports using a variety of system resources.
Communicate complex financial information in a clear and concise manner to stakeholders
Monthly deliverable generation including root cause findings and documentation
KNOWLEDGE SKILLS AND ABILITIES/LICENSE OR CERTIFICATION REQUIRED
Bachelor's degree in finance, economics, or a related field
2+ years of experience as a financial analyst, with experience in the healthcare industry a plus
Strong skills in Excel and SQL, including experience with data mining and data analysis
Excellent critical thinking and problem-solving skills, with the ability to apply knowledge and expertise to support decision-making
Must have a keen eye for detail
Ability to work with large data sets and extract meaningful insights
Strong communication and interpersonal skills, with the ability to present complex information to stakeholders in a clear and concise manner
If you are a driven and motivated financial analyst with a passion for working in the healthcare industry, we encourage you to apply for this exciting opportunity.",financial analyst,Finance
Financial Analyst,Commercial Metals Company,"Mesa, AZ 85212",Hybrid remote,N,Full-time,"it’s what’s inside that counts
_______________________________

There’s more to CMC than our steel products and the buildings, structures, and roads they go into. At CMC, it’s the people inside our recycling centers, fabrication plants, steel mills and offices that make us who we are as a company. Our success comes from finding, retaining, and supporting the highest quality talent by offering:
Flexible/hybrid work environment
Competitive compensation
Advancement opportunities
Training
Paid time off
Low-cost medical, dental, vision
Company-paid life and disability
Company matching 401(k) plan
Employee stock purchase plan
Why This Job
This position reports directly to the Director of Business Analysis for each Region with dotted lines to the Director of Operations and Director or Sales for the business supported. The Financial Analyst partners with Operations (includes Sales, Support areas and other back office functions) to provide financial analytics that drive business results in support of short- and long-term value creation. The position delivers analysis as part of the Americas finance organization teamed with local operations management, linking financial results to operational performance drivers. The Financial Analyst will be a dynamic leader within the business by providing valuable decision support and driving business success.

CMC provides an excellent opportunity to learn the steel industry and grow in your career. Whether you will spend your day in an office cubicle, operating a crane or running the melt shop at one of our mills, at CMC, you’ll get the training and support from your team that you need to excel in your role and reach your full potential.
What You'll Do
Work with Director of Business Analysis to ensure business unit objectives are aligned to Regional and Corporate strategic objectives
Provide decision support via financial modeling, business case analysis and financial / management reporting to influence performance of business
Evaluate financial implications of specific business decisions / opportunities and advise management accordingly to ensure targeted financial performance achievement
Exercise judgment to determine appropriate course of action and prepare business recommendations
Lead the financial planning and forecasting processes for the operating unit
Lead annual capital planning program for operating unit
Participate in Regional budgeting and forecasting processes to align operating and capital plans to Regional and Corporate plans
Provide in-depth analysis to Operations and Director of Business Analysis on variances to plan and forecast, with a focus toward gap closure
Apply external perspective and maintain knowledge of the segment’s competitive environment, market conditions, customers, and profit drivers
Lead monthly plant Cost Meetings with Operations and business unit management
Work closely with CMC Americas Controller, Director of Accounting, Director of Business Analysis, and Operations to maintain an effective internal control environment
Support process of ensuring that there is an effective and efficient system of internal controls including; data integrity, asset protection, budgeting, financial reporting, and information systems
Maintain a clear tone regarding business conduct, ethics, the law, and financial controls
Maintain independence in the view and assessment of business control environment
What You'll Need
Ability to navigate in a matrixed organization
Deep curiosity of profit drivers and ability to use financial systems to mine data to conduct financial analysis
Strong financial background including experience with planning, forecasting and integrated financial analysis
Minimum of 3 years of experience in finance, accounting, or other related field. Experience in manufacturing industry a plus
SAP experience strongly preferred
Your Education
Business degree or relevant financial experience in business operations
We are Commercial Metals Company, a Fortune 500 company with a family feel that’s already part of your life. Our steel products have been supporting structures in more than 20 countries for over 100 years. And the secret to our success? We’ve built our legacy by assembling a team of innovators and doers to tackle some of the most challenging problems facing our world over the last 100 years — but we’re just getting started.

If you’re ready to reimagine ways to make the steel industry more sustainable, reinforce the bridges and roadways connecting our communities, and do meaningful work, you’re ready to join CMC. Apply today and start moving your career — and our world — forward.

CMC is committed to providing equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, age, physical or mental disability, national origin, citizenship, military or veteran status, sexual orientation, gender identity and/or expression, genetic information, or other status protected by federal, state or local law.",financial analyst,Finance
Vans: Senior Financial Analyst (Americas),Vans,"Costa Mesa, CA",Onsite,"$69,984 - $104,976 ",r - Full-time,"Senior Financial Analyst, Vans Americas: Become the Newest Member of the VF Family
As Senior Financial Analyst you will be responsible for supporting the Vans Americas business in driving accurate and insightful Annual Plans and Monthly Forecasts and supporting a broad range of business partners to drive actionable reporting, improve access to data/analytics, and help to drive well informed decisions in pursuit of sustainable, long term profitable growth.
How You Will Make a Difference:
Support the development of the detailed Wholesale Annual Plan, Strategic Plan, and Forecast for the Vans Americas business in the US, Canada, Mexico, and CASA including development of Revenue, Gross Margin, and SG&A across all countries and for HQ overhead. Partner with Commercial leadership in Canada, Mexico, and Brazil to align on forecast changes and ensure they are accurately reflected in the regional forecast. Develop a streamlined tool and process to drive accountability and visibility to department owners and ensure that expenses remain aligned with Plan while also identifying savings and investment opportunities. Publish periodic reporting including Bookings, Ship Plan reconciliations, Product and Customer Revenue, and Expense Reporting. Analyze and proactively modify reports in Excel using large quantities of data to adapt to changing business conditions. Identify trends, and report on findings, including making recommendations to drive financially optimal decisions aligned with the business’ strategic objectives. Deliver actionable and timely ad-hoc analysis that gets at root cause and helps to educate and drive informed decision making (e.g. Gross Margin or Product Line analytics). Partner with Accounting team on month-end close by reviewing general ledger accounts and preparing reclass and accrual journal entries as necessary. Assist with load and validation of Americas Financials and support ad hoc requests from VF FP&A. Leverage Excel and PowerPoint to problem solve for data and report limitations and create dynamic financial models (pivot tables, macros, vlookup, sumif, etc.).
Years of Related Professional Experience: 3-5 years
Educational/ Position Requirements:
Bachelor’s degree in Finance, Accounting, or related field.
Ability to work quickly and accurately under pressure and time constraints.
Demonstrated critical thinking, analytical skills, and a natural inquisitiveness are required. Ability to apply systems knowledge to troubleshoot and analyze new issues is critical.
Must be a self-starter, able to work independently with a proactive working style.
Excellent verbal and written communication skills.
Previous experience with (strong ability to learn) SAP, BPC, Business Objects required.
Special Physical and/or Mental Requirements:
Travel by air and overnight, as required, less than 5% of time.
Lifting and/or bending, lifting 10 lbs. of weight.
Pay Range:
$69,984.00 USD - $104,976.00 USD annually
Incentive Potential:
This position is eligible for additional compensation awards that may include an annual incentive plan, sales incentive, or commission potential. Specific details of the additional compensation eligibility for this position will be provided during the recruiting and interview process.
Benefits at VF Corporation:
You can review a general overview of each benefit program offered, including this year's medical plan rates on
www.MyVFbenefits.com
and by clicking Looking to Join VF? Detailed information on your benefits will be provided during the hiring process.
Please note, our pay ranges are determined and built from market pay data. In determining the specific compensation for this position, we comply with all local, state, and federal laws.
R-20230209-0021",financial analyst,Finance
