Title,Company,Location,Type,Salary,Contract_type,Job_Description,JobType,Industry
Certified Personal Trainer,FitBody Studio,"Colorado Springs, CO 80907",Onsite,$32 - $45 ,ct,"About us
FitBody Studio is a boutique style Personal Training and Spa boutique business in Colorado Springs, CO 80907, located at the Moxie Suites building. We are focused on providing customized and personalized services to serve our community in their health and fitness goals.
Our work environment includes:
Flexible working hours
Entrepreneurial opportunities
We are looking to find Certified and Degreed Personal Trainers whom are interested in building a personal training or small group practice in our studio. We desire to work with independent contractors whom are excited to get their clients results and their business growing! We have a high demand of clientele seeking fitness coaching. In addition, we support trainers with tools and online training apps to more effectively and efficiently train clients with built-in programs and customizable options. Trainers are responsible for great work out sessions, strength training program design, meal plans, and of course keeping their clientele happy by sharing your expertise and care. In addition we are looking for an individual whom wants to manage the training operations.
Job Types: Part-time, Contract
Pay: $32.00 - $45.00 per hour
Benefits:
Flexible schedule
Schedule:
Monday to Friday
Weekend availability
Supplemental pay types:
Commission pay
Ability to commute/relocate:
Colorado Springs, CO 80907: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)
Work Location: In person",PersonalTrainer,Sport and Recreation
Certified Personal Trainer,Platinum Fitness,"Tucson, AZ 85730",Onsite,$50 - $72 ,rt-time,"Are you a certified personal trainer looking for a fantastic fully equipped gym with strength equipment, brand new cardio equipment, functional training rooms, and barbell training options?
Platinum Fitness is looking for a motivated personal trainer to join our team!
This is a fantastic position with plenty of potential to grow and NO mandatory hours outside of servicing your clientele.
Marketing through social media is a MUST, as we are in the heart of Tucson's eastside!
We will want to see your marketing plan/marketing tools you have used or hope to use.
You will have access to our member base and can work with Platinum to give ""specials"" to prospective clients.
Role and Responsibilities
To provide Semi Private Training and/or Personal Training at 100% commission minus administrative fees and taxes.
Manage administrative responsibilities within the Paramount system after being trained.
Utilize social media establish/maintain marketing materials and provide a positive online presence.
You will be responsible for scheduling and tracking your clients sessions.
You will be required to have a complete understanding of all new membership processes. Agreements / EFT-VISA / members follow up and retention system.
Job Types: Full-time, Part-time
Pay: $50.00 - $72.00 per hour
Benefits:
Employee discount
Flexible schedule
Schedule:
Choose your own hours
Supplemental pay types:
Commission pay
Ability to commute/relocate:
Tucson, AZ 85730: Reliably commute or planning to relocate before starting work (Required)
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
Elite level Personal trainer and Nutrition Coach (Remote),V Shred,Remote,Onsite,"$1,500 - $2,000 ", week - Full-time,"Online fitness company V SHRED is one of the fastest growing fitness brands in the world and is currently hiring online nutrition coaches/personal trainers. V SHRED trainers have a true passion for for helping others and are experts in their craft. Our trainers are results driven and produce outstanding client transformations and overall client satisfaction. Trainers will create custom plans for customers, guide them through the process while providing top notch customer service. Our trainers hold themselves to the highest standard across social media channels and with clients. Our trainers are in great physical shape, have a warm and welcoming demeanor and know the V SHRED brand inside and out.
Your primary focus will be to create custom training and nutrition plans exclusively for our VIP customers, guide them through the process via email, voice and text messaging as well as zoom, produce impressive client transformations and provide spectacular customer service and brand knowledge to your clients.
Requirements
Valid Personal Trainer Certification (NASM, ACSM, ACE, NSCA, etc.)
Valid Nutrition Certification or Degree in a related field
Must be well versed in Nutrition and understand and be able to implement different preferences and styles (Carb cycling, Keto, IF, Plant Based ect.)
5+ year experience
Comfortable on video calls
Data driven and results based strategy
Proven leadership ability to motivate a drive results, focused on customer satisfaction.
Passion for fitness and nutrition
Knowledgeable about V Shred brand
Coachable
Highly organized
Above average work ethic
Strong customer service
Own a computer and somewhat tech savvy as we use a few different softwares.
If you feel like this is you, please send:
Short resume of our qualifications
Any client transformations you have
phone number and email
Links to social media accounts
Benefits
We provide the clients for you daily
Our trainers work on commission for every custom plan you complete
Opportunity for commission on other sales
Pay is competitive
Flexible schedule
100% remote
Job Type: Full-time
Pay: $1,500.00 - $2,000.00 per week
Benefits:
Flexible schedule
Schedule:
Choose your own hours
Supplemental pay types:
Bonus pay
Commission pay
Application Question(s):
How many years of Personal Training experience do you have?
Do you have client transformations or testimonials?
How many years of online coaching experience do you have?
Are you willing to work weekends?
How many years of Prenatal/Postnatal experience do you have?
Education:
Bachelor's (Required)
Language:
Spanish (Preferred)
License/Certification:
Nutrition Certification or degree in a related field (Required)
Certified Personal Trainer License? (Required)
Registered Dietitian Certification (Preferred)
Hormone Specialist Certification (Preferred)
Work Location: Remote",PersonalTrainer,Sport and Recreation
"Elite Personal Trainer for In-Home Training, Corp. Wellness, Manhattan",APS Management Services LLC,"Manhattan, NY",Onsite,$100 - $150 ,ct,"APS Management is launching a new corporate wellness program and we already have lined up one of the most elite private equity firms in New York as a client. We are only going to grow from here.
We are seeking phenomenal personal trainers with certifications and a proven track record of experience to join us to take care of our hard-working finance clients.
You'll work as a contractor with us. We'll handle contracts, payment, scheduling, and customer service. You show up on time to the client's home or apartment (these are all high-net-worth individuals living in Manhattan) and do what you do - transform lives through your gift of personalized fitness instruction.
We're happy to pay you $100 per session, minimum - possibly more depending on your experience. Our main goal right now is to build our brand and show results.
You will not receive any reimbursement for travel. The $100 we pay you per session includes compensation for traveling to their location in Manhattan and providing a 45 minute to 60 minute session.
Equipment is on site. You just need to show up.
Please reply if you can help us taking care of these clients. We would be honored to work with you.
Job Type: Contract
Pay: $100.00 - $150.00 per hour
Benefits:
Flexible schedule
Schedule:
Self-determined schedule
Application Question(s):
What is your approach towards personal training, and helping clients attain results?
What is your perspective on the optimal exercise and nutrition regimen for male clients who want to gain muscle?
Do you have any existing social media or public presence relating to fitness and/or health?
You'll receive $100 to $150 per session, depending on what we negotiate. TRAVEL to their home is on you. Please confirm that this is okay with you.
Our clients usually start super early in the morning. How many days per week are you available, and how early can you start? You can usually get 2 sessions in between 7am and 9am. Our clients live close to each other - it's a small city!
Work Location: On the road",PersonalTrainer,Sport and Recreation
Personal Trainer,Invictus Boston,"Boston, MA",Onsite,From $70 ,rt-time,"Invictus Boston is now interviewing for a Personal Trainer (hourly) to join our team of professional, career coaches.
As a Personal Trainer, you would be responsible for answering personal training inquiries, scheduling, and conducting 1-on-1 sessions.
JOB REQUIREMENTS
Answer all incoming personal training inquiries
Schedule clients
Design customized workout plans
Conduct 1-on-1 training sessions
Log session data
EDUCATION/EXPERIENCE
2+ years personal training experience
Current PT Certification
CPR Certification
Job Types: Full-time, Part-time
Pay: From $70.00 per hour
Benefits:
Employee discount
Flexible schedule
Schedule:
Choose your own hours
Weekend availability
Supplemental pay types:
Commission pay
Ability to commute/relocate:
Boston, MA: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location",PersonalTrainer,Sport and Recreation
Personal Trainer,VASA Fitness,"Murray, UT",Onsite,$18 - $28 ,rt-time,"JOIN OUR TEAM

At VASA Fitness, we want to create an uplifting experience for everyone by offering inclusive, accessible, and on-trend fitness. The foundation of our brand is rooted in a culture centered on unity, passion, love, integrity, fun, and trust. Because our culture is alive—embodied by members and team members alike—VASA is a place where lives are changed because of authentic connections made within our supportive community.
We offer a competitive, all-encompassing benefits package which includes healthcare benefits for employees who work 20+ hours per week. All employees receive two complimentary gym memberships—one for themselves and another to give away—plus 401k options.
30+ hours per week employees: Paid Time Off (hourly), Health, Dental, Vision Benefits and Paid Parental Leave (in addition to above)
40 hours per week employees: Flexible Vacation Plan (salary) & Paid Holidays (in addition to above)

Come join VASA Fitness and join a passionate, fun, and united team!
VASA is hiring Personal Trainers! All experience levels welcome!

Less than 1-year of personal training or coaching experience? No problem! We would love to teach the way VASA Personal Training Coaches help our members get healthy, feel strong and be happy!

Experienced personal trainer or coach? We can’t wait for you to connect with our members!

JOB TYPE: Full-time & Part-time available

Job Description
POSITION TITLE: Personal Trainer
REPORTS TO: Fitness Team Lead
FLSA Status: Hourly

COMPENSATION
Base pay is $12.00 per hour. Average pay is $18.00 per hour!
Client Training Session Range: $22.00-$33.00 per hour!
Semi-private Training Session Range $44.00-$66.00 per hour!

PURPOSE
The personal trainer is a trusted team member who guides clients to success on their health and fitness journey. They do this through providing a world class training experience through our UPLIFT values and a caring and connected approach in every session. The Personal Trainer will prioritize, plan, and execute tactics to acquire new and retain existing clients.

DELIVERABLES
The Personal Trainer will meet on a regular basis with the FTL to plan, prioritize and execute tactics to ensure success on the deliverables, which include but are not limited to, the following:
Acquisition of new and retention of existing clientele. The Personal Trainer is responsible for performing all activities relative to the acquisition and retention of personal training clients.
Schedule and deliver complimentary PT sessions. Personal Trainers schedule then deliver personal training sessions for existing VASA members and execute on all processes and procedures for the success of each client.
Personal Trainers are agile in their training approach. This includes facilitating & adjusting exercise programming to fit the exact needs of each client. The Personal Trainer will demonstrate care & create connection throughout the duration of the client journey.
Create an approachable environment in and around the Personal Training Cage. This includes interacting with members, clients & guests in a friendly, fun, energetic & inclusive way. Personal Trainers will also demonstrate consistency in appearance, safety protocols, and cleaning activities.
Create a supportive, connected community for all clients. This includes utilizing the VASA programs, tools & resources, to deliver meaningful personal trainer check-ins, coaching and encouragement in the on-going success of each client.

MINIMUM QUALIFICATIONS
The competencies for successful performance in this role include, but are not limited to, the following:
CPR/AED Certification (must obtain within the first 30 days of employment).
Open minded with an ability to learn new approaches and can think outside the box.
Optimistic mindset with a roll-up-your-sleeves attitude.
Passionate about fitness and helping people live a healthy lifestyle
Great problem solving skills
Excellent communication skills

PREFERRED (NOT REQUIRED) QUALIFICATIONS
Previous personal training experience a plus.
Additional certifications relative to Personal Training.
NCAA-accredited Personal Training Certification or industry related degree.

This position description intends to describe the general nature and level of work being performed by people assigned to this job. It is not intended to include all duties and responsibilities. The order in which duties and responsibilities are listed is not significant.
VASA Fitness is an Equal Opportunity Employer",PersonalTrainer,Sport and Recreation
Substitute Fitness Trainer,Action Fitness Community,"Sacramento, CA 95819",Onsite,$20 - $30 ,ct,"Position Title: Substitute Fitness Trainer
(may turn into regular position)
Must be high energy, motivational, enjoying working out, and dedicated to helping others reach their health fitness goals.
**
*We are a body positive, inclusive, fitness community dedicated to helping clients reach their goals through balanced nutrition and regular activity in a fun environment.
Schedule Options:
Mondays: 1215p - 430p
Tuesdays: 445a - 9am
Thursdays: 445a - 130p
Saturdays: 745a - 11a
***When responding please be sure to note which shifts or partial shifts you're available***
Role and Responsibilities: Under supervision of the studio owner, write and provide group and individual fitness training. Duties include, but are not limited to:
Client Acquisition
Assist in running Boot Camps, Small Group Training, Private Training ·
Studio set-up and Clean-up responsibilities
Attend regular staff meetings
Assist with marketing, administrative, and promotional activities.
Qualifications and Requirements
Nationally recognized certification or degree in a related field is preferred
Passionate about health and fitness and be able to demonstrate that they are willing to be part of a team. Candidates also need to be able to work with all ages and fitness levels.
Job Type: Employee Job Location: Sacramento, CA
Compensation:
$25 per session / $20 per session starting for uncertified trainers
10-15 Hours of job training paid at $15 per session
COVID-19 considerations: Staff are required to wash hands and sanitize equipment regularly.
****To be considered please add your schedule of availability.****
Job Types: Part-time, Contract, Temporary
Pay: $20.00 - $30.00 per hour
Schedule:
Monday to Friday
Weekend availability
COVID-19 considerations:
COVID-19 considerations:
Staff is required to wash their hands regularly and sanitize equipment. Everyone entering studio must wash their hands.
Education:
High school or equivalent (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
Personal Trainer,Game Of Fitness,"Saint Petersburg, FL 33711",Onsite,$60 - $120 ,ct,"Looking for talented Personal Trainers/Contractors to join our growing team. We have a 6000 square foot facility located in St. Petersburg. We offer flexible hours with close access to the Pinellas Trail for additional training.
Job Types: Full-time, Part-time, Contract
Pay: $60.00 - $120.00 per hour
Benefits:
Flexible schedule
Schedule:
10 hour shift
12 hour shift
8 hour shift
Monday to Friday
Weekend availability
COVID-19 considerations:
We have adequate spacing available for comfortable one on one training and cleaning and disinfecting taking place around the clock.
Ability to commute/relocate:
Saint Petersburg, FL 33711: Reliably commute or planning to relocate before starting work (Required)
Shift availability:
Day Shift (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
Personal Trainer,Tulane University,"New Orleans, LA",Onsite,P,rt-time,"This job description represents part time positions within the Department of Campus Recreation. Each position title is part of a pooled group of employees.
The Personal Trainer position will develop and implement safe and effective training programs using the client goals as a guide. They are responsible for maintaining the schedule and keeping training appointments with clients. Personal Trainers will record and track the progress of the clients and provide education to participants about the benefits of exercise and healthy lifestyles.
Required Knowledge, Skills, and Abilities
Ability to follow verbal and written instructions
Ability to communicate effectively
Ability to work cooperatively with internal staff members
Ability to complete assignments and tasks in a timely manner
Ability to effectively keep abreast of all internal policies and procedures
Ability to maintain confidentiality in all work performed
Required Education and/or Experience
High School Diploma or equivalent
A Personal Training Certification from an Accredited Organization (AFAA, ACE, ACSM etc. . .)
A current American Red Cross Adult CPR/AED and Blood Borne Pathogen Professional Rescuer Certification, or the ability to obtain within 2 months of employment
Preferred Qualifications",PersonalTrainer,Sport and Recreation
Elite level Personal trainer and Nutrition Coach (Remote),V Shred,Remote,Onsite,"$1,500 - $2,000 ", week - Full-time,"Online fitness company V SHRED is one of the fastest growing fitness brands in the world and is currently hiring online nutrition coaches/personal trainers. V SHRED trainers have a true passion for for helping others and are experts in their craft. Our trainers are results driven and produce outstanding client transformations and overall client satisfaction. Trainers will create custom plans for customers, guide them through the process while providing top notch customer service. Our trainers hold themselves to the highest standard across social media channels and with clients. Our trainers are in great physical shape, have a warm and welcoming demeanor and know the V SHRED brand inside and out.
Your primary focus will be to create custom training and nutrition plans exclusively for our VIP customers, guide them through the process via email, voice and text messaging as well as zoom, produce impressive client transformations and provide spectacular customer service and brand knowledge to your clients.
Requirements
Valid Personal Trainer Certification (NASM, ACSM, ACE, NSCA, etc.)
Valid Nutrition Certification or Degree in a related field
Must be well versed in Nutrition and understand and be able to implement different preferences and styles (Carb cycling, Keto, IF, Plant Based ect.)
5+ year experience
Comfortable on video calls
Data driven and results based strategy
Proven leadership ability to motivate a drive results, focused on customer satisfaction.
Passion for fitness and nutrition
Knowledgeable about V Shred brand
Coachable
Highly organized
Above average work ethic
Strong customer service
Own a computer and somewhat tech savvy as we use a few different softwares.
If you feel like this is you, please send:
Short resume of our qualifications
Any client transformations you have
phone number and email
Links to social media accounts
Benefits
We provide the clients for you daily
Our trainers work on commission for every custom plan you complete
Opportunity for commission on other sales
Pay is competitive
Flexible schedule
100% remote
Job Type: Full-time
Pay: $1,500.00 - $2,000.00 per week
Benefits:
Flexible schedule
Schedule:
Choose your own hours
Supplemental pay types:
Bonus pay
Commission pay
Application Question(s):
How many years of Personal Training experience do you have?
Do you have client transformations or testimonials?
How many years of online coaching experience do you have?
Are you willing to work weekends?
How many years of Prenatal/Postnatal experience do you have?
Education:
Bachelor's (Required)
Language:
Spanish (Preferred)
License/Certification:
Nutrition Certification or degree in a related field (Required)
Certified Personal Trainer License? (Required)
Registered Dietitian Certification (Preferred)
Hormone Specialist Certification (Preferred)
Work Location: Remote",PersonalTrainer,Sport and Recreation
Certified Personal Trainer,TMPL Gym,"New York, NY 10022",Onsite,"$35,000 - $120,000 ",r - Full-time,"The personal training position at TMPL Gym focuses on creating a high-level fitness experience for members at a luxury gym. Trainers create value in our fitness programs by delivering the best fitness programs, coaching and connecting with clientele. With a fitness experience like no other, TMPL offers one of the best pay splits for personal trainers in the industry.
Job Type: Full-time
Pay: $35,000.00 - $120,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Schedule:
10 hour shift
12 hour shift
8 hour shift
Monday to Friday
Weekend availability
Supplemental pay types:
Commission pay
COVID-19 considerations:
Surfaces are sanitized regularly, all members and employees are required to be vaccinated.
Education:
High school or equivalent (Preferred)
License/Certification:
Personal Training Certification (Required)
CPR Certification (Required)
Shift availability:
Day Shift (Required)
Night Shift (Required)
Work Location: In person

Health insurance",PersonalTrainer,Sport and Recreation
Certified Personal Trainer,Evo Gyms,"Plano, TX 75093",Onsite,From $100 ,rt-time,"Evo Gyms is a high-end, 18,000 square foot private training facility in Plano, Texas. This is the first of hopefully many locations.
We are looking to bring on entrepreneurial, talented trainers that have an established client base and are looking to expand their business. We charge a flat monthly rate and offer state-of-the-art equipment for every training discipline.
We have:
24/7 key card access for all members (trainers) to bring their clients and train
A private studio for small group classes
50 yards of turf for functional training
Dumbbells up to 150 pounds
Olympic lifting platforms, barbells, and bumper plates
Custom bodybuilding equipment and machines by Atlantis
A full sized boxing ring
A full sized octagon
A custom rig with varying punching bags
Private physical therapy rooms
Spa like bathroom amenities
A beautiful break room for trainers
A large conference room for client consultations
Job Type: Part-time
Pay: From $100.00 per hour
Benefits:
Employee discount
Flexible schedule
Professional development assistance
Referral program
Schedule:
Choose your own hours
Supplemental pay types:
Commission pay
Tips
Ability to commute/relocate:
Plano, TX 75093: Reliably commute or planning to relocate before starting work (Preferred)
Shift availability:
Day Shift (Preferred)
Work Location: Hybrid remote in Plano, TX 75093",PersonalTrainer,Sport and Recreation
"Elite Personal Trainer for In-Home Training, Corp. Wellness, Manhattan",APS Management Services LLC,"Manhattan, NY",Onsite,$100 - $150 ,ct,"APS Management is launching a new corporate wellness program and we already have lined up one of the most elite private equity firms in New York as a client. We are only going to grow from here.
We are seeking phenomenal personal trainers with certifications and a proven track record of experience to join us to take care of our hard-working finance clients.
You'll work as a contractor with us. We'll handle contracts, payment, scheduling, and customer service. You show up on time to the client's home or apartment (these are all high-net-worth individuals living in Manhattan) and do what you do - transform lives through your gift of personalized fitness instruction.
We're happy to pay you $100 per session, minimum - possibly more depending on your experience. Our main goal right now is to build our brand and show results.
You will not receive any reimbursement for travel. The $100 we pay you per session includes compensation for traveling to their location in Manhattan and providing a 45 minute to 60 minute session.
Equipment is on site. You just need to show up.
Please reply if you can help us taking care of these clients. We would be honored to work with you.
Job Type: Contract
Pay: $100.00 - $150.00 per hour
Benefits:
Flexible schedule
Schedule:
Self-determined schedule
Application Question(s):
What is your approach towards personal training, and helping clients attain results?
What is your perspective on the optimal exercise and nutrition regimen for male clients who want to gain muscle?
Do you have any existing social media or public presence relating to fitness and/or health?
You'll receive $100 to $150 per session, depending on what we negotiate. TRAVEL to their home is on you. Please confirm that this is okay with you.
Our clients usually start super early in the morning. How many days per week are you available, and how early can you start? You can usually get 2 sessions in between 7am and 9am. Our clients live close to each other - it's a small city!
Work Location: On the road",PersonalTrainer,Sport and Recreation
Personal Trainer,MAC Gym,"Fraser, MI 48026",Onsite,"$2,000 - $5,000 ",rt-time,"At MAC GYM we run things as should supposed to be.
You focus on what you love, coaching and training, and leave the sales and chasing new clients to us.
Here is What We Are Looking For:
First and foremost we are looking for a people person. We are known for our programs and coaching but in reality, we are in the customer service business and we work with people. One of the biggest reasons for our success is because we realize that our members are everything to our business and we do everything we can to get to know them and find out how can we motivate them and help them reach their goals.
Second, our trainers needs to be a life-long learner. One of our core values is ""always learn-constantly improve"". We're constantly learning something new and working on becoming better at what we do. We even give incentives to our coaches for continuing education.
Third, we're looking for a team player.
And last but not least we're looking for an enthusiastic, motivated, hard-working, and HIGH ENERGY PERSON (this is really important) to start working and coaching our clients as soonest possible.
About the Position
We currently offer mostly one-on-one one sessions and nutrition programs that motivate, educate, and support men and women to improve their health, fitness, and performance. Most of our programs include nutrition coaching, fitness testing, and body composition analysis.
If you are accepted for this position, you'll undergo a 2-4 week internship and training to learn our system. The majority of your training clients' hours vary. There will be some additional hours between for fitness assessments, coaching and consultations with clients, follow-ups with clients, training on our system, meetings.
Bottom line: After your initial training is over and you're ready to start. Mac Gym facility's offer a casual, fun environment, state-of-the-art training equipment, and the opportunity to learn the inner workings of a successful fitness business.
Oh yea, we’re also very fair, respectful, and appreciative. We like having fun and making money by providing highly valuable fitness services and products.
You will be compensated fairly, treated fairly and we will certainly look for ways to pay you more for your efforts if they warrant it. I want someone who enjoys working with people and making a difference in the lives of others - because that's what we do in our business.
Our current facility is located 40 N. Groesbeck Hwy., Mount Clemens, MI. 48043 and 31059 Harper Ave., St. Clair Shores, MI. 48082
Tasks We Need You to Perform
Deliver Comprehensive Health & Fitness Programs For Clients: You'll receive coaching and training on our fitness system and programs, but you'll be expected to deliver them in a fun, high energy, enthusiastic, educational, and supportive manner.
Tracking Client Progress: In order to ensure a client's success in our programs, you'll need to track clients' progress, current successes, and challenges, review client nutrition logs, and more, on a weekly basis. It will be your job to hold our clients accountable to his/her health and fitness program to ensure the best results possible.
Perform Fitness Evaluations: You'll need to perform a fitness assessment and test for: body composition, body weight, girth measurements, and various strength and flexibility tests. You do not need previous experience, but if you do, that's a bonus.
Demonstrate Proper Exercise Instruction: This is a big one. I need you to be able to provide proper coaching, instruction, and motivation during a client training session. You should have a working knowledge of the human body (i.e. muscles, movements, functions, etc.) and be able to provide appropriate exercises for the client's goals.
Provide Ongoing Health and Fitness Education: Our clients rely on us to service all of their health and fitness needs. It is your job as a fitness coach to provide our clients with health and fitness education on various topics that will empower them to lead healthy lives forever.
Required Skills
These are the skills you must already have in order to qualify for this position:
No Certification we will intern YOU- Some previous personal training or group training experience and understanding of human anatomy, physiology and biomechanics is beneficial but not required.
Basic nutrition knowledge: You've heard this one: ""You can't out-train a bad diet"". We believe in this and that is why most of our programs include the nutritional component included in the membership. Our next coach should understand the basic nutritional principles and be able to advise clients on proper nutrition.
Good Communication Skills: You will be talking with my clients, who are VERY important to me. You must be comfortable conversing in person and on the phone and know how to conduct yourself professionally, and deliver clear instructions to the clients. We'll teach you everything you need to do during a training session, but I can't teach you manners and professionalism.
People Skills and Personality: You must LOVE working with people! As mentioned above you must be very comfortable working with people. These are exciting training facilities and you must be able to show our clients energy and excitement while working with them.
CPR Certified: If you don't have one it’s not a problem you can easily get one in a day.
How to Apply
We're looking to hire the right (5) people as soon as possible. So if this job sounds good to you, then apply immediately.
Here is what we want from you:
Punctual and prepared for all appointments with clients or staff meetings
Passionate about fitness and coaching others with purpose while providing excellent customer service
Ability to motivate others to improve their overall fitness and health
Desire to help clients reach their health and fitness goals through proper cardiovascular, flexibility and resistance exercise
Knowledge of anatomy, functional exercise, basic nutrition, and basic exercise science
Conducts Fitness Assessments according to Company protocol
Educates members on current health and fitness issues and trends
Exceptionally member service oriented and possesses outstanding communication skills
Ability to design exercise programs tailored to the needs of specific clients/goals
Ability to demonstrate and teach exercises while providing feedback on technique
Ability to execute individual fitness program design in a safe and effective manner
Understands the importance of maintaining accurate and current client files
Dedicated to maintaining personal integrity and personal health and fitness
Willingness to uphold Company protocol and policies
Attends mandatory and optional staff training classes
Promotes and sells personal training programs and services
Remains current on certifications and new trends in the industry
Job Types: Full-time, Part-time
Pay: $2,000.00 - $5,000.00 per month
Benefits:
Employee discount
Schedule:
Choose your own hours
Monday to Friday
Weekend availability
Supplemental pay types:
Bonus pay
Commission pay
Ability to commute/relocate:
Fraser, MI 48026: Reliably commute or planning to relocate before starting work (Required)
Experience:
Customer service: 1 year (Preferred)
Group fitness: 1 year (Preferred)
License/Certification:
CPR & AED Certification (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
Personal Trainer,Zone Athletic Club Southlands,"Aurora, CO 80016",Onsite,$35 - $60 ,rt-time,"Our locally owned and operated fitness center is growing and in need of new Certified Personal Trainers that are ready to guide new and existing members in their fitness journey.
You will not only be responsible for taking on existing clients, but also driving new client opportunities and teaching our members about the benefits of personal training. We're looking for very motivated individuals with sales and training experience who can help us build a winning culture. Trainers with more experience and weekend availability will receive a priority. With the growing business there are limitless opportunities for internal advancement within our seven Colorado locations.
As far as continued education and certifications, we offer in-house intranet CEC's and CEU's including partial sponsorship for PT certifications like NASM. Full time individuals have eligibility for partially compensated health benefits.
If you are interested in learning more about the opportunities that we offer here in Colorado from our 7 locations, please reach out and we can guide you on next best steps and potentially set up a time to meet in a club. Thank you!
Amenities Include (but are not limited to): Free Weights, Cardio Equipment, Weight Machines both select and plate loaded, 10+ Squat Racks and 5 Platforms with bumper plates, 50' Turf Training Space, Child Care, Yoga and Pilates Class Room, Cycle Class Room, Main Group Exercise Class Room for Strength and Conditioning Classes, 1 on 1 and Small Group Personal Training offerings, Body Composition Analysis by InBody, Dry Sauna, Tanning, Hydro Massage Bed and Massage Chair, Myzone Technology, DotFit Supplements, and more
Job Types: Full-time, Part-time
Pay: $35.00 - $60.00 per hour
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
4 hour shift
8 hour shift
Supplemental pay types:
Commission pay
Ability to commute/relocate:
Aurora, CO 80016: Reliably commute or planning to relocate before starting work (Required)
Experience:
Personal Training: 1 year (Preferred)
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)
Work Location: One location

Health insurance",PersonalTrainer,Sport and Recreation
Certified Personal Trainer,CC Fitness,"Sun City West, AZ 85375",Onsite,$45 - $56 ,ct,"Certified Personal Trainer through an approved and recognized organization.
Minimum 1 year experience in one-on-one, functional, and strength training.
Senior Fitness Specialist preferred.
Positive attitude and engaged with client.
Job Type: Contract
Pay: $45.00 - $56.00 per hour
Benefits:
Flexible schedule
Schedule:
Choose your own hours
Ability to commute/relocate:
Sun City West, AZ 85375: Reliably commute or planning to relocate before starting work (Required)
License/Certification:
Driver's License (Preferred)
Shift availability:
Day Shift (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
Personal and Group Trainer,TAILOR MADE PERSONAL TRAINING LLC,"El Paso, TX 79922",Onsite,$16 - $23 ,ct,"About us
MUST HAVE CERTIFICATION AND EXPERIENCE
TAILOR MADE PERSONAL TRAINING LLC is a small business in El Paso, TX. We are professional, collaborative and fun.
Our work environment includes:
Group and Personal Training
Base pay + $1 per person in session
We provide your clients and pay yout gym rent
Fitness and Nutrition programing softwares to help build and keep clients accountable
Growth opportunities
Fun
Life Changing
Expanding into new Gyms and city's in the near future
ROCKSTAR FITNESS COACH WANTED
High energy Personal Trainer who loves fitness, loves helping people, and has a passion for changing lives and has fun doing it!
We are looking to expand our team and we want Fitness Training Rockstars who have a passion for changing lives, making people laugh and enjoy getting paid to play
We are looking for the person who wants the hours and is ready to take on a combination of shift times throughout the weekday and weekend mornings.
We want people who don’t think a certification makes them a fitness professional, and someone who is always willing to learn more. Humility. WORK ETHIC. And GREAT ENERGY!
Also must be punctual, reliable, and have a decent sense of humor- we’d settle for a bad sense of humor just as long as you have one.
DO NOT apply if you:
Hate puppies
Hate people
Want to become a fitness trainer to jumpstart your own fitness journey
Love heavy traffic
Can’t take feedback
Hate to learn
Are not a team player
Part-time with an AMAZING TEAM that works together to get sessions covered and create a flexible yet committed work environment
and complete the application.
Only fill out the application if you LOVE HELPING PEOPLE and being part of an amazing community
Job Types: Part-time, Contract
Pay: $16.00 - $23.00 per hour
Benefits:
Employee discount
Flexible schedule
Paid time off
Professional development assistance
Tuition reimbursement
Schedule:
Day shift
Evening shift
Monday to Friday
No weekends
Supplemental pay types:
Bonus pay
Commission pay
Ability to commute/relocate:
El Paso, TX 79922: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location",PersonalTrainer,Sport and Recreation
